# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.2
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
XLabel=$\Delta \phi_{j_1j_2}^{excl}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  \Delta \phi_{j_1j_2}^{excl}$ (fb)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.8
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/deltaphi_jj_excl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	1.976129e-01	2.893541e-02	0.000000e+00
1.047198e-01	2.094395e-01	1.806733e-01	1.030627e-02	6.380557e-03
2.094395e-01	3.141593e-01	1.792045e-01	9.335579e-03	7.560175e-03
3.141594e-01	4.188790e-01	1.800189e-01	7.091407e-03	7.975099e-03
4.188790e-01	5.235988e-01	1.826783e-01	1.071373e-02	6.443576e-03
5.235989e-01	6.283186e-01	1.841695e-01	1.110059e-02	7.186804e-03
6.283185e-01	7.330383e-01	1.859492e-01	8.664933e-03	5.660057e-03
7.330384e-01	8.377581e-01	1.872866e-01	9.319736e-03	7.142018e-03
8.377580e-01	9.424778e-01	1.901195e-01	1.391256e-02	7.002878e-03
9.424778e-01	1.047198e+00	1.942784e-01	1.103264e-02	4.345007e-03
1.047197e+00	1.151917e+00	1.957953e-01	1.497379e-02	5.154270e-03
1.151917e+00	1.256637e+00	1.962405e-01	7.333270e-03	1.001881e-02
1.256637e+00	1.361357e+00	2.009517e-01	1.125783e-02	7.223739e-03
1.361357e+00	1.466077e+00	2.039314e-01	8.474599e-03	7.918927e-03
1.466076e+00	1.570796e+00	2.081897e-01	9.584125e-03	7.939056e-03
1.570796e+00	1.675516e+00	2.119654e-01	8.268048e-03	8.919691e-03
1.675516e+00	1.780236e+00	2.175525e-01	1.230071e-02	6.687452e-03
1.780236e+00	1.884956e+00	2.183672e-01	0.000000e+00	1.044003e-02
1.884955e+00	1.989675e+00	2.252492e-01	1.076223e-02	8.643704e-03
1.989675e+00	2.094395e+00	2.319415e-01	1.384330e-02	6.810829e-03
2.094395e+00	2.199115e+00	2.370458e-01	1.510590e-02	7.805577e-03
2.199115e+00	2.303835e+00	2.397170e-01	1.193019e-02	7.852464e-03
2.303834e+00	2.408554e+00	2.450897e-01	1.405180e-02	9.722782e-03
2.408554e+00	2.513274e+00	2.470396e-01	1.037672e-02	9.567418e-03
2.513274e+00	2.617994e+00	2.498363e-01	1.169232e-02	1.219232e-02
2.617994e+00	2.722714e+00	2.570247e-01	1.514257e-02	6.821238e-03
2.722713e+00	2.827433e+00	2.588087e-01	1.631882e-02	5.861019e-03
2.827433e+00	2.932153e+00	2.612087e-01	1.955605e-02	7.168927e-03
2.932153e+00	3.036873e+00	2.642769e-01	1.503199e-02	7.260027e-03
3.036873e+00	3.141593e+00	2.609530e-01	1.080548e-02	1.256350e-02
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	1.863985e-01	1.696040e-02	0.000000e+00
1.047198e-01	2.094395e-01	1.837622e-01	1.428413e-02	0.000000e+00
2.094395e-01	3.141593e-01	1.863471e-01	1.643529e-02	0.000000e+00
3.141594e-01	4.188790e-01	1.877500e-01	1.644457e-02	0.000000e+00
4.188790e-01	5.235988e-01	1.882541e-01	1.613544e-02	0.000000e+00
5.235989e-01	6.283186e-01	1.904927e-01	1.671261e-02	0.000000e+00
6.283185e-01	7.330383e-01	1.918730e-01	1.791170e-02	0.000000e+00
7.330384e-01	8.377581e-01	1.948661e-01	1.495793e-02	0.000000e+00
8.377580e-01	9.424778e-01	1.969423e-01	1.791170e-02	0.000000e+00
9.424778e-01	1.047198e+00	1.991704e-01	1.773889e-02	0.000000e+00
1.047197e+00	1.151917e+00	2.022426e-01	1.742568e-02	0.000000e+00
1.151917e+00	1.256637e+00	2.051413e-01	1.835351e-02	0.000000e+00
1.256637e+00	1.361357e+00	2.105477e-01	1.998243e-02	0.000000e+00
1.361357e+00	1.466077e+00	2.123575e-01	1.839563e-02	0.000000e+00
1.466076e+00	1.570796e+00	2.159521e-01	1.814437e-02	0.000000e+00
1.570796e+00	1.675516e+00	2.206727e-01	1.920225e-02	0.000000e+00
1.675516e+00	1.780236e+00	2.246007e-01	1.997756e-02	0.000000e+00
1.780236e+00	1.884956e+00	2.292154e-01	1.977292e-02	0.000000e+00
1.884955e+00	1.989675e+00	2.350665e-01	2.060381e-02	0.000000e+00
1.989675e+00	2.094395e+00	2.397911e-01	2.123682e-02	0.000000e+00
2.094395e+00	2.199115e+00	2.422871e-01	1.934148e-02	0.000000e+00
