# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/jet3_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=3.0
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/jet3_mass
RatioPlotYLabel=Ratio
Scale=1000.0
XLabel=$m_{j_3}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_3}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/jet3_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	4.204134e-02	3.826560e-03	1.256824e-02
1.000000e+00	2.000000e+00	5.830286e-03	1.441100e-04	5.431110e-04
2.000000e+00	3.000000e+00	5.595979e-03	1.289686e-03	0.000000e+00
3.000000e+00	4.000000e+00	1.515735e-02	2.185730e-03	0.000000e+00
4.000000e+00	5.000000e+00	1.706343e-02	2.743480e-03	9.801200e-04
5.000000e+00	6.000000e+00	1.337477e-02	3.058750e-03	1.356850e-03
6.000000e+00	7.000000e+00	8.768343e-03	2.473352e-03	1.677157e-03
7.000000e+00	8.000000e+00	5.432317e-03	1.570175e-03	1.206591e-03
8.000000e+00	9.000000e+00	3.360772e-03	1.046470e-03	5.165530e-04
9.000000e+00	1.000000e+01	2.068924e-03	6.901020e-04	6.407820e-04
1.000000e+01	1.100000e+01	1.551125e-03	4.667450e-04	2.808060e-04
1.100000e+01	1.200000e+01	1.192340e-03	4.312583e-04	3.214340e-04
1.200000e+01	1.300000e+01	8.354258e-04	2.356751e-04	1.786742e-04
1.300000e+01	1.400000e+01	6.959864e-04	2.591556e-04	1.183820e-04
1.400000e+01	1.500000e+01	5.012043e-04	2.068568e-04	5.697650e-05
1.500000e+01	1.600000e+01	3.179751e-04	9.623230e-05	8.268170e-05
1.600000e+01	1.700000e+01	2.897496e-04	1.123673e-04	6.788660e-05
1.700000e+01	1.800000e+01	2.209257e-04	1.142180e-04	3.570980e-05
1.800000e+01	1.900000e+01	8.513569e-05	1.457710e-06	9.041151e-05
1.900000e+01	2.000000e+01	1.144234e-04	6.737393e-05	0.000000e+00
2.000000e+01	2.100000e+01	6.525934e-05	2.131994e-05	4.289246e-05
2.100000e+01	2.200000e+01	5.246911e-05	2.807641e-05	1.755175e-05
2.200000e+01	2.300000e+01	3.497333e-05	1.620736e-05	2.361923e-05
2.300000e+01	2.400000e+01	2.188546e-05	1.670746e-05	8.682800e-06
2.400000e+01	2.500000e+01	1.018166e-05	8.188700e-07	1.373552e-05
2.500000e+01	2.600000e+01	7.325653e-06	0.000000e+00	1.043905e-05
2.600000e+01	2.700000e+01	6.603478e-06	1.172777e-06	2.004529e-06
2.700000e+01	2.800000e+01	5.929620e-06	4.051310e-07	5.750700e-07
2.800000e+01	2.900000e+01	3.425415e-06	2.902739e-06	0.000000e+00
2.900000e+01	3.000000e+01	9.096158e-07	0.000000e+00	3.084161e-06
3.000000e+01	3.100000e+01	9.551863e-07	0.000000e+00	7.435142e-06
3.100000e+01	3.200000e+01	1.412175e-06	8.382231e-07	7.176800e-07
3.200000e+01	3.300000e+01	5.515154e-07	1.005661e-07	2.080302e-06
3.300000e+01	3.400000e+01	7.462792e-07	4.018970e-08	1.975857e-06
3.400000e+01	3.500000e+01	6.444266e-07	5.100591e-07	2.400321e-07
3.500000e+01	3.600000e+01	-1.272223e-07	0.000000e+00	1.026294e-06
3.600000e+01	3.700000e+01	4.193395e-07	3.000123e-07	6.692675e-07
3.700000e+01	3.800000e+01	5.488642e-07	5.421071e-07	0.000000e+00
3.800000e+01	3.900000e+01	3.353098e-07	2.498246e-07	0.000000e+00
3.900000e+01	4.000000e+01	5.935959e-08	4.281937e-08	1.329942e-07
4.000000e+01	4.100000e+01	8.254742e-08	6.142608e-08	2.384658e-08
4.100000e+01	4.200000e+01	6.707721e-08	1.604622e-08	5.061829e-08
4.200000e+01	4.300000e+01	-9.223839e-08	0.000000e+00	1.731955e-07
4.300000e+01	4.400000e+01	2.641281e-08	2.344920e-09	1.681841e-08
4.400000e+01	4.500000e+01	3.987049e-08	3.105548e-08	0.000000e+00
4.500000e+01	4.600000e+01	1.690807e-08	8.007681e-08	0.000000e+00
4.600000e+01	4.700000e+01	1.757085e-07	1.745986e-07	0.000000e+00
4.700000e+01	4.800000e+01	2.338958e-10	0.000000e+00	1.299850e-08
4.800000e+01	4.900000e+01	1.510068e-08	0.000000e+00	4.605699e-08
4.900000e+01	5.000000e+01	3.110211e-09	1.997058e-09	1.453767e-08
5.000000e+01	5.100000e+01	2.914551e-09	2.371573e-09	1.745514e-08
5.100000e+01	5.200000e+01	1.482022e-09	1.144979e-09	6.913317e-09
5.200000e+01	5.300000e+01	4.272282e-09	4.408682e-09	7.963030e-10
5.300000e+01	5.400000e+01	5.429857e-09	4.607240e-09	0.000000e+00
5.400000e+01	5.500000e+01	-4.670585e-10	0.000000e+00	5.189027e-08
5.500000e+01	5.600000e+01	2.205591e-09	1.950086e-09	2.160585e-08
5.600000e+01	5.700000e+01	-1.188659e-09	0.000000e+00	1.302424e-08
