# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_0 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_0 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_0 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_0 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_0 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H_KTSPLITTINGS/log10_R_0 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H_KTSPLITTINGS/log10_R_0
Title=$\log_{10}$(Integrated $0$ jet rate in $k_\perp$ [GeV])
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_0
#RatioPlot=1
LogY=1
RatioPlotYMax=2.5
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_0 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_0 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_0 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_0 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_0 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H_KTSPLITTINGS/log10_R_0 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H_KTSPLITTINGS/log10_R_0
XLabel=$\log_{10}(d_{\text{cut}}/\text{GeV})$
LegendAlign=r
YLabel=$R_{0}$
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H_KTSPLITTINGS/log10_R_0
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_0
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_0
RatioPlotSameStyle=1
Title=h(2*,3*,4)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.722582e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.722583e-01	3.445165e-01	-1.303037e-15	0.000000e+00	1.303037e-15
3.445166e-01	4.167748e-01	-1.303037e-15	5.419413e-15	1.300012e-15
4.167748e-01	4.890330e-01	3.963786e-11	3.713848e-11	0.000000e+00
4.890331e-01	5.612913e-01	6.770916e-10	5.696482e-10	1.726954e-09
5.612914e-01	6.335496e-01	6.106223e-07	5.601429e-07	0.000000e+00
6.335496e-01	7.058078e-01	1.975217e-06	1.247245e-06	6.174080e-07
7.058079e-01	7.780661e-01	1.377488e-05	7.525996e-06	6.598840e-06
7.780662e-01	8.503244e-01	8.112009e-05	3.515182e-05	2.691401e-05
8.503244e-01	9.225826e-01	3.328810e-04	1.215533e-04	1.067441e-04
9.225827e-01	9.948409e-01	1.299931e-03	3.766080e-04	2.465410e-04
9.948409e-01	1.067099e+00	3.947076e-03	8.830790e-04	6.318590e-04
1.067099e+00	1.139357e+00	9.710470e-03	1.664912e-03	1.707930e-03
1.139358e+00	1.211616e+00	2.270277e-02	3.332210e-03	2.616440e-03
1.211616e+00	1.283874e+00	4.623214e-02	4.909370e-03	4.910150e-03
1.283874e+00	1.356132e+00	8.937712e-02	7.432840e-03	8.993280e-03
1.356132e+00	1.428390e+00	1.652639e-01	1.424890e-02	1.481110e-02
1.428391e+00	1.500649e+00	2.912754e-01	1.883200e-02	2.126770e-02
1.500649e+00	1.572907e+00	4.897098e-01	2.354120e-02	2.782690e-02
1.572907e+00	1.645165e+00	7.861449e-01	2.578290e-02	3.404770e-02
1.645165e+00	1.717423e+00	1.196557e+00	2.619700e-02	3.529800e-02
1.717424e+00	1.789682e+00	1.702394e+00	2.167400e-02	3.360200e-02
1.789682e+00	1.861940e+00	2.266533e+00	1.394900e-02	2.985600e-02
1.861940e+00	1.934198e+00	2.847031e+00	1.298300e-02	2.224700e-02
1.934199e+00	2.006457e+00	3.395689e+00	1.063300e-02	1.426700e-02
2.006457e+00	2.078715e+00	3.868798e+00	7.970000e-03	7.711000e-03
2.078715e+00	2.150973e+00	4.244443e+00	4.543000e-03	4.077000e-03
2.150973e+00	2.223231e+00	4.521056e+00	2.907000e-03	3.160000e-03
2.223232e+00	2.295490e+00	4.707816e+00	2.751000e-03	4.730000e-04
2.295490e+00	2.367748e+00	4.828645e+00	3.985000e-03	0.000000e+00
2.367748e+00	2.440006e+00	4.902724e+00	6.844000e-03	0.000000e+00
2.440006e+00	2.512264e+00	4.949355e+00	7.253000e-03	0.000000e+00
2.512265e+00	2.584523e+00	4.978432e+00	8.162000e-03	5.210000e-04
2.584523e+00	2.656781e+00	4.994788e+00	8.121000e-03	1.098000e-03
2.656781e+00	2.729039e+00	5.003809e+00	8.700000e-03	0.000000e+00
2.729039e+00	2.801297e+00	5.008143e+00	8.935000e-03	0.000000e+00
2.801298e+00	2.873556e+00	5.009990e+00	8.758000e-03	0.000000e+00
2.873556e+00	2.945814e+00	5.010908e+00	8.845000e-03	0.000000e+00
2.945814e+00	3.018072e+00	5.011476e+00	8.800000e-03	0.000000e+00
3.018073e+00	3.090331e+00	5.011650e+00	8.764000e-03	0.000000e+00
3.090331e+00	3.162589e+00	5.011726e+00	8.788000e-03	0.000000e+00
3.162589e+00	3.234847e+00	5.011755e+00	8.776000e-03	0.000000e+00
3.234847e+00	3.307105e+00	5.011763e+00	8.775000e-03	0.000000e+00
3.307106e+00	3.379364e+00	5.011764e+00	8.775000e-03	0.000000e+00
3.379364e+00	3.451622e+00	5.011766e+00	8.777000e-03	0.000000e+00
3.451622e+00	3.523880e+00	5.011766e+00	8.777000e-03	0.000000e+00
3.523880e+00	3.596138e+00	5.011766e+00	8.777000e-03	0.000000e+00
