# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/H3_y
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/H3_y
#RatioPlot=1
LogY=1
RatioPlotYMax=1.8
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/H3_y
XLabel=$y_{h}^{\star}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{h}^{\star}$ (fb)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/H3_y
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/H3_y
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/H3_y
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-3.000000e+00	-2.760000e+00	4.069888e-02	1.286504e-03	0.000000e+00
-2.760000e+00	-2.520000e+00	4.755025e-02	5.585000e-04	5.310417e-04
-2.520000e+00	-2.280000e+00	5.641637e-02	3.553667e-03	7.505417e-04
-2.280000e+00	-2.040000e+00	6.260254e-02	0.000000e+00	3.863333e-03
-2.040000e+00	-1.800000e+00	7.848775e-02	5.069167e-04	1.346667e-03
-1.800000e+00	-1.560000e+00	9.684604e-02	1.771792e-03	1.181583e-03
-1.560000e+00	-1.320000e+00	1.228955e-01	4.693083e-03	2.723000e-03
-1.320000e+00	-1.080000e+00	1.608913e-01	3.766250e-03	4.236167e-03
-1.080000e+00	-8.400000e-01	2.223452e-01	2.789708e-03	3.043042e-03
-8.400000e-01	-6.000000e-01	3.620778e-01	2.675167e-03	1.351512e-02
-6.000000e-01	-3.600000e-01	8.465550e-01	2.243042e-02	1.727792e-02
-3.600000e-01	-1.200000e-01	2.321360e+00	1.081525e-01	6.301167e-02
-1.200000e-01	1.200000e-01	3.434315e+00	1.561871e-01	1.355263e-01
1.200000e-01	3.600000e-01	2.314285e+00	1.033513e-01	7.224833e-02
3.600000e-01	6.000000e-01	8.419129e-01	3.224667e-02	1.945375e-02
6.000000e-01	8.400000e-01	3.603163e-01	3.552625e-03	0.000000e+00
8.400000e-01	1.080000e+00	2.223579e-01	7.270833e-04	3.385458e-03
1.080000e+00	1.320000e+00	1.474398e-01	0.000000e+00	1.052483e-02
1.320000e+00	1.560000e+00	1.213266e-01	6.375708e-03	3.120958e-03
1.560000e+00	1.800000e+00	9.109967e-02	0.000000e+00	6.915292e-03
1.800000e+00	2.040000e+00	7.944213e-02	0.000000e+00	2.866583e-03
2.040000e+00	2.280000e+00	6.476446e-02	2.169583e-04	4.267917e-04
2.280000e+00	2.520000e+00	5.488250e-02	9.057083e-04	3.336000e-03
2.520000e+00	2.760000e+00	4.818388e-02	3.025917e-03	7.607083e-04
2.760000e+00	3.000000e+00	4.217292e-02	1.394337e-03	7.528750e-04
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/H3_y
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/H3_y
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
-3.000000e+00	-2.760000e+00	1.745599e-02	0.000000e+00	1.829879e-03
-2.760000e+00	-2.520000e+00	1.962525e-02	0.000000e+00	2.661954e-03
-2.520000e+00	-2.280000e+00	2.171495e-02	0.000000e+00	2.520408e-03
-2.280000e+00	-2.040000e+00	2.375765e-02	0.000000e+00	3.643708e-03
-2.040000e+00	-1.800000e+00	2.732859e-02	0.000000e+00	3.076888e-03
-1.800000e+00	-1.560000e+00	3.111973e-02	0.000000e+00	3.134338e-03
-1.560000e+00	-1.320000e+00	3.699677e-02	0.000000e+00	2.701950e-03
-1.320000e+00	-1.080000e+00	4.531367e-02	0.000000e+00	2.019167e-03
-1.080000e+00	-8.400000e-01	6.519242e-02	3.531667e-04	1.250667e-03
-8.400000e-01	-6.000000e-01	1.393799e-01	7.447167e-03	0.000000e+00
-6.000000e-01	-3.600000e-01	5.589292e-01	5.068917e-02	0.000000e+00
-3.600000e-01	-1.200000e-01	2.034934e+00	1.799704e-01	0.000000e+00
-1.200000e-01	1.200000e-01	3.194411e+00	2.721654e-01	0.000000e+00
1.200000e-01	3.600000e-01	2.031152e+00	1.802104e-01	0.000000e+00
3.600000e-01	6.000000e-01	5.591596e-01	5.363042e-02	0.000000e+00
6.000000e-01	8.400000e-01	1.409868e-01	1.000413e-02	0.000000e+00
8.400000e-01	1.080000e+00	6.913854e-02	4.241125e-03	0.000000e+00
1.080000e+00	1.320000e+00	4.505204e-02	0.000000e+00	2.253625e-03
1.320000e+00	1.560000e+00	3.699004e-02	0.000000e+00	3.417508e-03
1.560000e+00	1.800000e+00	3.120175e-02	0.000000e+00	4.030413e-03
