# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/Hjj_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/Hjj_pT_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/Hjj_pT_incl
XLabel=$p_{T,hj_1j_2}^{incl}$ (GeV)
LegendAlign=r
XMax=250.0
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,hj_1j_2}^{incl}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/Hjj_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/Hjj_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/Hjj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	9.031650e-02	2.270391e-02	2.082460e-02
1.000000e+01	2.000000e+01	7.493846e-02	2.347430e-03	4.287000e-04
2.000000e+01	3.000000e+01	5.244690e-02	2.878410e-03	3.395420e-03
3.000000e+01	4.000000e+01	3.758713e-02	2.592290e-03	2.751450e-03
4.000000e+01	5.000000e+01	2.426429e-02	1.825350e-03	2.747750e-03
5.000000e+01	6.000000e+01	1.517971e-02	1.574690e-03	1.230220e-03
6.000000e+01	7.000000e+01	9.564206e-03	1.400201e-03	1.050444e-03
7.000000e+01	8.000000e+01	5.623419e-03	7.430990e-04	9.997960e-04
8.000000e+01	9.000000e+01	3.491889e-03	5.124860e-04	6.045540e-04
9.000000e+01	1.000000e+02	2.163801e-03	2.956480e-04	4.915950e-04
1.000000e+02	1.100000e+02	1.397619e-03	2.193700e-05	2.509940e-04
1.100000e+02	1.200000e+02	9.109984e-04	1.780866e-04	2.122636e-04
1.200000e+02	1.300000e+02	6.133861e-04	9.075620e-05	1.126510e-04
1.300000e+02	1.400000e+02	3.871674e-04	3.937200e-05	1.018753e-04
1.400000e+02	1.500000e+02	2.923017e-04	1.907530e-05	5.691210e-05
1.500000e+02	1.600000e+02	2.112037e-04	4.993150e-05	5.192510e-05
1.600000e+02	1.700000e+02	1.516686e-04	3.656850e-05	2.917020e-05
1.700000e+02	1.800000e+02	1.195923e-04	2.970114e-05	2.154350e-05
1.800000e+02	1.900000e+02	7.937841e-05	1.162298e-05	5.053899e-05
1.900000e+02	2.000000e+02	6.796533e-05	1.725931e-05	1.389472e-05
2.000000e+02	2.100000e+02	5.094022e-05	1.635046e-05	9.577720e-06
2.100000e+02	2.200000e+02	3.833372e-05	8.625240e-06	9.542460e-06
2.200000e+02	2.300000e+02	2.968576e-05	7.858830e-06	6.820900e-06
2.300000e+02	2.400000e+02	3.278770e-05	1.473888e-05	0.000000e+00
2.400000e+02	2.500000e+02	1.818213e-05	4.335770e-06	1.327527e-05
2.500000e+02	2.600000e+02	1.441881e-05	2.416260e-06	8.770810e-06
2.600000e+02	2.700000e+02	1.145333e-05	1.585055e-06	6.071640e-06
2.700000e+02	2.800000e+02	9.406610e-06	1.126400e-06	8.027780e-06
2.800000e+02	2.900000e+02	7.495276e-06	9.683150e-07	3.569184e-06
2.900000e+02	3.000000e+02	6.746567e-06	1.555248e-06	3.055504e-06
3.000000e+02	3.100000e+02	5.755816e-06	1.303656e-06	2.372753e-06
3.100000e+02	3.200000e+02	4.592744e-06	9.287380e-07	1.683055e-06
3.200000e+02	3.300000e+02	4.214157e-06	7.964930e-07	1.801663e-06
3.300000e+02	3.400000e+02	3.874770e-06	1.047552e-06	1.141823e-06
3.400000e+02	3.500000e+02	2.705969e-06	6.682600e-07	1.683185e-06
3.500000e+02	3.600000e+02	2.668259e-06	6.451230e-07	8.908550e-07
3.600000e+02	3.700000e+02	1.801183e-06	2.236940e-07	6.574940e-07
3.700000e+02	3.800000e+02	1.747286e-06	3.753700e-07	1.073269e-06
3.800000e+02	3.900000e+02	1.436245e-06	6.030014e-07	8.206290e-07
3.900000e+02	4.000000e+02	1.378692e-06	4.285951e-07	4.312000e-07
4.000000e+02	4.100000e+02	1.141454e-06	2.828803e-07	7.890940e-07
4.100000e+02	4.200000e+02	1.022775e-06	3.620371e-07	5.359430e-07
4.200000e+02	4.300000e+02	8.450604e-07	1.951055e-07	4.193846e-07
4.300000e+02	4.400000e+02	9.181894e-07	4.316950e-07	3.003176e-07
4.400000e+02	4.500000e+02	6.488632e-07	1.984368e-07	3.617488e-07
4.500000e+02	4.600000e+02	5.925155e-07	1.920014e-07	2.981532e-07
4.600000e+02	4.700000e+02	4.456370e-07	1.145026e-07	3.071045e-07
4.700000e+02	4.800000e+02	5.148984e-07	1.715755e-07	1.390177e-07
4.800000e+02	4.900000e+02	4.427956e-07	1.392362e-07	2.295467e-07
4.900000e+02	5.000000e+02	3.545292e-07	1.299604e-07	2.198261e-07
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/Hjj_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/Hjj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
