# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine
#RatioPlot=1
LogY=1
RatioPlotYMax=1.6
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine
RatioPlotYLabel=Ratio
Scale=1000.0
XLabel=$m_{j_1j_2}$ (GeV)
LegendAlign=r
XMax=200.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_2}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/dijet_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	1.822240e-05	0.000000e+00	2.397393e-06
1.200000e+01	1.600000e+01	4.992385e-04	0.000000e+00	5.900650e-05
1.600000e+01	2.000000e+01	1.582502e-03	5.399250e-06	1.958160e-04
2.000000e+01	2.400000e+01	2.599533e-03	3.540000e-05	3.487475e-04
2.400000e+01	2.800000e+01	3.350658e-03	1.666175e-04	4.146300e-04
2.800000e+01	3.200000e+01	3.784290e-03	3.198425e-04	3.673050e-04
3.200000e+01	3.600000e+01	3.950998e-03	2.185725e-04	5.959450e-04
3.600000e+01	4.000000e+01	4.300145e-03	4.044250e-04	6.176950e-04
4.000000e+01	4.400000e+01	4.518843e-03	4.007475e-04	5.792850e-04
4.400000e+01	4.800000e+01	4.851862e-03	4.424500e-04	5.839525e-04
4.800000e+01	5.200000e+01	5.365588e-03	4.491575e-04	6.054575e-04
5.200000e+01	5.600000e+01	6.341215e-03	6.469550e-04	5.375125e-04
5.600000e+01	6.000000e+01	7.606340e-03	7.084925e-04	8.363300e-04
6.000000e+01	6.400000e+01	9.117317e-03	7.724375e-04	8.188325e-04
6.400000e+01	6.800000e+01	1.169577e-02	9.131750e-04	8.341875e-04
6.800000e+01	7.200000e+01	1.525238e-02	9.735150e-04	9.041900e-04
7.200000e+01	7.600000e+01	2.082741e-02	2.048600e-04	0.000000e+00
7.600000e+01	8.000000e+01	2.880065e-02	3.643550e-03	2.855175e-03
8.000000e+01	8.400000e+01	2.376237e-02	2.702115e-03	4.050880e-03
8.400000e+01	8.800000e+01	1.434350e-02	3.920600e-04	1.404932e-03
8.800000e+01	9.200000e+01	1.504825e-02	2.302645e-03	1.881970e-03
9.200000e+01	9.600000e+01	8.987077e-03	4.100100e-04	8.367850e-04
9.600000e+01	1.000000e+02	6.364092e-03	2.515900e-04	0.000000e+00
1.000000e+02	1.040000e+02	5.329342e-03	1.295025e-04	3.500625e-04
1.040000e+02	1.080000e+02	5.132280e-03	1.397225e-04	1.888925e-04
1.080000e+02	1.120000e+02	4.984723e-03	7.621500e-05	2.448600e-04
1.120000e+02	1.160000e+02	4.937080e-03	1.312150e-04	7.500750e-05
1.160000e+02	1.200000e+02	4.884140e-03	7.316500e-05	2.861775e-04
1.200000e+02	1.240000e+02	4.839260e-03	2.545725e-04	3.227750e-05
1.240000e+02	1.280000e+02	4.594697e-03	9.827750e-05	3.418575e-04
1.280000e+02	1.320000e+02	4.572838e-03	8.672000e-05	0.000000e+00
1.320000e+02	1.360000e+02	4.549270e-03	1.063725e-04	0.000000e+00
1.360000e+02	1.400000e+02	4.293728e-03	0.000000e+00	1.798100e-04
1.400000e+02	1.440000e+02	4.370537e-03	7.448750e-05	0.000000e+00
1.440000e+02	1.480000e+02	4.308505e-03	0.000000e+00	2.073050e-04
1.480000e+02	1.520000e+02	4.286185e-03	1.496575e-04	0.000000e+00
1.520000e+02	1.560000e+02	4.136715e-03	5.473500e-05	9.095000e-05
1.560000e+02	1.600000e+02	4.109692e-03	2.247250e-05	3.820000e-05
1.600000e+02	1.640000e+02	4.124147e-03	4.671500e-05	9.122500e-05
1.640000e+02	1.680000e+02	4.199802e-03	2.373250e-04	0.000000e+00
1.680000e+02	1.720000e+02	4.173497e-03	2.308975e-04	0.000000e+00
1.720000e+02	1.760000e+02	3.833208e-03	0.000000e+00	5.060000e-05
1.760000e+02	1.800000e+02	3.939870e-03	1.390725e-04	0.000000e+00
1.800000e+02	1.840000e+02	3.797007e-03	0.000000e+00	7.723000e-05
1.840000e+02	1.880000e+02	3.746023e-03	2.804000e-05	9.520000e-06
1.880000e+02	1.920000e+02	3.574360e-03	0.000000e+00	1.323500e-04
1.920000e+02	1.960000e+02	3.642505e-03	0.000000e+00	7.064000e-05
1.960000e+02	2.000000e+02	3.572435e-03	6.032250e-05	7.150000e-07
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	1.512106e-05	2.425667e-06	0.000000e+00
1.200000e+01	1.600000e+01	3.777290e-04	3.152425e-05	2.194575e-05
1.600000e+01	2.000000e+01	1.084015e-03	1.109350e-05	1.399455e-04
2.000000e+01	2.400000e+01	1.673496e-03	0.000000e+00	2.712960e-04
2.400000e+01	2.800000e+01	2.036853e-03	0.000000e+00	4.231195e-04
2.800000e+01	3.200000e+01	2.214592e-03	0.000000e+00	4.895732e-04
3.200000e+01	3.600000e+01	2.250616e-03	0.000000e+00	5.291688e-04
3.600000e+01	4.000000e+01	2.306499e-03	0.000000e+00	4.444158e-04
4.000000e+01	4.400000e+01	2.237506e-03	0.000000e+00	4.976838e-04
4.400000e+01	4.800000e+01	2.182186e-03	0.000000e+00	4.602715e-04
4.800000e+01	5.200000e+01	2.193762e-03	0.000000e+00	4.711007e-04
5.200000e+01	5.600000e+01	2.257291e-03	0.000000e+00	4.113943e-04
5.600000e+01	6.000000e+01	2.311802e-03	0.000000e+00	3.022182e-04
6.000000e+01	6.400000e+01	2.313783e-03	0.000000e+00	3.252325e-04
6.400000e+01	6.800000e+01	2.377867e-03	0.000000e+00	1.993875e-04
6.800000e+01	7.200000e+01	2.323169e-03	0.000000e+00	1.033016e-03
7.200000e+01	7.600000e+01	2.366979e-03	0.000000e+00	2.183785e-04
7.600000e+01	8.000000e+01	2.348684e-03	0.000000e+00	1.759587e-04
8.000000e+01	8.400000e+01	2.424221e-03	0.000000e+00	7.926175e-05
8.400000e+01	8.800000e+01	2.421747e-03	0.000000e+00	4.973125e-05
8.800000e+01	9.200000e+01	2.438890e-03	0.000000e+00	6.881750e-05
9.200000e+01	9.600000e+01	2.457155e-03	0.000000e+00	4.039775e-05
9.600000e+01	1.000000e+02	2.472190e-03	6.705000e-06	0.000000e+00
1.000000e+02	1.040000e+02	2.473225e-03	5.876500e-06	2.456575e-05
