# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/deltaphi_Hjj_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/deltaphi_Hjj_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.9
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/deltaphi_Hjj_incl
XLabel=$\Delta \phi_{h,j_1j_2}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  \Delta \phi_{h,j_1j_2}$ (fb)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_TIGHT/deltaphi_Hjj_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/deltaphi_Hjj_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/deltaphi_Hjj_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	3.431209e-03	5.672776e-04	5.071839e-04
1.047198e-01	2.094395e-01	3.284552e-03	2.323116e-04	6.023499e-04
2.094395e-01	3.141593e-01	3.363326e-03	5.792620e-04	1.079983e-03
3.141594e-01	4.188790e-01	3.363334e-03	8.943446e-04	5.788223e-04
4.188790e-01	5.235988e-01	3.524985e-03	5.416359e-04	2.352936e-04
5.235989e-01	6.283186e-01	4.070226e-03	9.842188e-04	2.551984e-04
6.283185e-01	7.330383e-01	3.491373e-03	2.067613e-05	1.136401e-03
7.330384e-01	8.377581e-01	4.737899e-03	5.872286e-04	0.000000e+00
8.377580e-01	9.424778e-01	4.291106e-03	2.061721e-04	2.166267e-04
9.424778e-01	1.047198e+00	4.861282e-03	9.159885e-04	4.115635e-03
1.047197e+00	1.151917e+00	4.652349e-03	4.306764e-07	1.230603e-03
1.151917e+00	1.256637e+00	6.043113e-03	1.063593e-03	3.406675e-04
1.256637e+00	1.361357e+00	6.026064e-03	4.828428e-04	1.455658e-03
1.361357e+00	1.466077e+00	6.947299e-03	5.046715e-04	1.304422e-03
1.466076e+00	1.570796e+00	7.892104e-03	1.437026e-03	2.858333e-03
1.570796e+00	1.675516e+00	9.257574e-03	2.747345e-04	1.765554e-03
1.675516e+00	1.780236e+00	1.054306e-02	7.158900e-04	2.157945e-03
1.780236e+00	1.884956e+00	1.238763e-02	1.033804e-03	2.904460e-03
1.884955e+00	1.989675e+00	1.586169e-02	2.154346e-03	2.336099e-03
1.989675e+00	2.094395e+00	2.010758e-02	3.298606e-03	2.735304e-03
2.094395e+00	2.199115e+00	2.575289e-02	3.007964e-03	3.498186e-03
2.199115e+00	2.303835e+00	3.766440e-02	6.715575e-03	5.578209e-04
2.303834e+00	2.408554e+00	4.480028e-02	4.975410e-03	8.302257e-03
2.408554e+00	2.513274e+00	6.320264e-02	6.170206e-03	1.108675e-02
2.513274e+00	2.617994e+00	9.605930e-02	9.325191e-03	1.563331e-02
2.617994e+00	2.722714e+00	1.576505e-01	1.857534e-02	2.647087e-02
2.722713e+00	2.827433e+00	2.809349e-01	3.076672e-02	3.317497e-02
2.827433e+00	2.932153e+00	5.492129e-01	6.147613e-02	6.827874e-02
2.932153e+00	3.036873e+00	1.287135e+00	1.553180e-01	1.579861e-01
3.036873e+00	3.141593e+00	5.849889e+00	4.257057e-01	1.941033e-01
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/deltaphi_Hjj_incl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/deltaphi_Hjj_incl
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	3.038301e-03	3.735502e-04	6.269645e-04
1.047198e-01	2.094395e-01	3.212543e-03	5.821455e-04	7.743099e-04
2.094395e-01	3.141593e-01	3.300927e-03	5.485285e-04	6.922607e-04
3.141594e-01	4.188790e-01	3.378924e-03	6.317999e-04	6.686163e-04
4.188790e-01	5.235988e-01	3.444065e-03	4.865040e-04	7.431794e-04
5.235989e-01	6.283186e-01	3.636506e-03	5.819325e-04	6.382629e-04
6.283185e-01	7.330383e-01	3.960954e-03	7.190369e-04	7.316859e-04
7.330384e-01	8.377581e-01	4.069203e-03	6.827378e-04	7.200651e-04
8.377580e-01	9.424778e-01	4.314831e-03	5.762549e-04	1.065747e-03
9.424778e-01	1.047198e+00	4.615963e-03	7.723639e-04	9.469348e-04
1.047197e+00	1.151917e+00	5.133098e-03	9.640762e-04	1.002301e-03
1.151917e+00	1.256637e+00	5.405676e-03	5.626127e-04	1.279873e-03
1.256637e+00	1.361357e+00	6.411848e-03	1.268468e-03	1.021223e-03
1.361357e+00	1.466077e+00	6.702344e-03	9.419175e-04	1.772547e-03
1.466076e+00	1.570796e+00	8.004725e-03	1.069327e-03	1.551086e-03
1.570796e+00	1.675516e+00	8.978643e-03	1.227251e-03	3.224222e-03
1.675516e+00	1.780236e+00	1.083900e-02	1.856720e-03	2.461297e-03
1.780236e+00	1.884956e+00	1.292595e-02	2.183251e-03	2.598606e-03
