# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine
XLabel=$m_{j_1j_4}$ (GeV)
LegendAlign=r
XMax=200.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_4}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/j1j4_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	2.278332e-08	1.105227e-08	1.335723e-08
1.200000e+01	1.600000e+01	6.389010e-06	1.932075e-06	0.000000e+00
1.600000e+01	2.000000e+01	3.885155e-05	0.000000e+00	2.859125e-05
2.000000e+01	2.400000e+01	1.300023e-04	3.593825e-05	0.000000e+00
2.400000e+01	2.800000e+01	1.703764e-04	0.000000e+00	3.666918e-05
2.800000e+01	3.200000e+01	2.249370e-04	1.232110e-05	4.774625e-05
3.200000e+01	3.600000e+01	2.712523e-04	6.992750e-06	6.433100e-05
3.600000e+01	4.000000e+01	2.741525e-04	1.704150e-05	5.661750e-05
4.000000e+01	4.400000e+01	3.150783e-04	2.408700e-05	2.075650e-05
4.400000e+01	4.800000e+01	3.054263e-04	2.163900e-05	6.650150e-05
4.800000e+01	5.200000e+01	3.069343e-04	1.571700e-05	3.567750e-05
5.200000e+01	5.600000e+01	2.845260e-04	0.000000e+00	2.874100e-05
5.600000e+01	6.000000e+01	3.135030e-04	0.000000e+00	3.193925e-05
6.000000e+01	6.400000e+01	4.346440e-04	1.187875e-04	0.000000e+00
6.400000e+01	6.800000e+01	3.951245e-04	1.207245e-04	2.269675e-05
6.800000e+01	7.200000e+01	3.266330e-04	3.042525e-05	9.556450e-05
7.200000e+01	7.600000e+01	4.204863e-04	4.777325e-05	2.887720e-04
7.600000e+01	8.000000e+01	4.955970e-04	9.166275e-05	6.971750e-05
8.000000e+01	8.400000e+01	4.471540e-04	2.725800e-05	1.840850e-05
8.400000e+01	8.800000e+01	3.674623e-04	1.643350e-05	5.440600e-05
8.800000e+01	9.200000e+01	3.577410e-04	0.000000e+00	4.904650e-05
9.200000e+01	9.600000e+01	3.567195e-04	4.395475e-05	2.315825e-05
9.600000e+01	1.000000e+02	3.396770e-04	5.594650e-05	1.772275e-05
1.000000e+02	1.040000e+02	3.421090e-04	4.710575e-05	3.426350e-05
1.040000e+02	1.080000e+02	3.615527e-04	5.903675e-05	1.642200e-05
1.080000e+02	1.120000e+02	3.453310e-04	4.571250e-05	2.034500e-05
1.120000e+02	1.160000e+02	3.178405e-04	2.873425e-05	8.344200e-05
1.160000e+02	1.200000e+02	2.850705e-04	2.382675e-05	3.145425e-05
1.200000e+02	1.240000e+02	3.145925e-04	3.793400e-05	0.000000e+00
1.240000e+02	1.280000e+02	3.693785e-04	7.567775e-05	0.000000e+00
1.280000e+02	1.320000e+02	2.682605e-04	0.000000e+00	7.053200e-05
1.320000e+02	1.360000e+02	2.865690e-04	3.696855e-05	0.000000e+00
1.360000e+02	1.400000e+02	2.875168e-04	3.548800e-05	2.734950e-05
1.400000e+02	1.440000e+02	2.876265e-04	5.196870e-05	3.720525e-05
1.440000e+02	1.480000e+02	2.796598e-04	1.900125e-05	2.122400e-05
1.480000e+02	1.520000e+02	2.904560e-04	5.360198e-05	1.300400e-05
1.520000e+02	1.560000e+02	2.618183e-04	2.614373e-05	1.555350e-05
1.560000e+02	1.600000e+02	2.561720e-04	1.910860e-05	4.786250e-05
1.600000e+02	1.640000e+02	2.736718e-04	4.703110e-05	1.050100e-05
1.640000e+02	1.680000e+02	2.303461e-04	2.696950e-06	5.232488e-05
1.680000e+02	1.720000e+02	2.313190e-04	1.525578e-05	1.925552e-05
1.720000e+02	1.760000e+02	2.129161e-04	3.078550e-06	5.565818e-05
1.760000e+02	1.800000e+02	2.263848e-04	3.520057e-05	1.161840e-05
1.800000e+02	1.840000e+02	2.086411e-04	1.531217e-05	4.254285e-05
1.840000e+02	1.880000e+02	2.169625e-04	2.767277e-05	0.000000e+00
1.880000e+02	1.920000e+02	2.386714e-04	4.327015e-05	0.000000e+00
1.920000e+02	1.960000e+02	1.968710e-04	1.344548e-05	1.459660e-05
1.960000e+02	2.000000e+02	1.994126e-04	1.675088e-05	1.058328e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	2.062080e-08	0.000000e+00	1.519903e-08
1.200000e+01	1.600000e+01	4.853602e-06	0.000000e+00	1.132690e-06
1.600000e+01	2.000000e+01	4.026305e-05	3.587975e-06	3.477800e-06
2.000000e+01	2.400000e+01	1.079087e-04	5.007225e-06	1.412912e-05
2.400000e+01	2.800000e+01	1.695880e-04	5.845100e-06	3.525727e-05
2.800000e+01	3.200000e+01	2.443867e-04	4.425600e-05	3.932827e-05
3.200000e+01	3.600000e+01	2.861975e-04	4.438080e-05	3.703000e-05
3.600000e+01	4.000000e+01	2.908010e-04	2.068300e-05	5.945450e-05
4.000000e+01	4.400000e+01	3.078172e-04	6.240805e-05	6.550900e-05
4.400000e+01	4.800000e+01	2.980390e-04	4.471100e-05	5.977400e-05
4.800000e+01	5.200000e+01	2.928395e-04	3.889475e-05	5.946550e-05
5.200000e+01	5.600000e+01	2.959397e-04	5.259115e-05	5.273375e-05
5.600000e+01	6.000000e+01	2.887078e-04	4.188540e-05	7.378275e-05
6.000000e+01	6.400000e+01	2.907153e-04	3.193000e-05	9.486425e-05
6.400000e+01	6.800000e+01	3.346425e-04	6.095725e-05	6.651250e-05
6.800000e+01	7.200000e+01	3.389155e-04	3.548450e-05	6.343525e-05
7.200000e+01	7.600000e+01	3.971010e-04	6.633600e-05	5.807850e-05
7.600000e+01	8.000000e+01	4.733825e-04	7.540150e-05	6.409800e-05
8.000000e+01	8.400000e+01	4.534412e-04	4.823300e-05	4.333025e-05
8.400000e+01	8.800000e+01	3.881352e-04	6.515950e-05	3.806875e-05
8.800000e+01	9.200000e+01	3.923863e-04	6.382125e-05	5.566475e-05
9.200000e+01	9.600000e+01	3.397535e-04	4.816400e-05	5.143225e-05
9.600000e+01	1.000000e+02	3.311857e-04	4.868650e-05	5.074375e-05
1.000000e+02	1.040000e+02	3.231400e-04	3.956425e-05	5.088225e-05
1.040000e+02	1.080000e+02	3.134155e-04	4.056250e-05	6.520325e-05
1.080000e+02	1.120000e+02	3.218340e-04	3.126100e-05	4.745175e-05
1.120000e+02	1.160000e+02	3.250367e-04	5.451950e-05	6.855675e-05
