# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/gapjet1_y_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_y_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/gapjet1_y_incl
XLabel=$y_{jets}^{gap}$
LegendAlign=r
YLabel=$\text{d} \sigma/ \text{d} y_{jets}^{gap}$
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_INC/gapjet1_y_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_y_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_y_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	2.029567e-05	5.596375e-06	0.000000e+00
-4.400000e+00	-4.200000e+00	2.515093e-04	4.206225e-05	2.079910e-05
-4.200000e+00	-4.000000e+00	8.364090e-04	1.336610e-04	0.000000e+00
-4.000000e+00	-3.800000e+00	1.765476e-03	7.979650e-05	9.710650e-05
-3.800000e+00	-3.600000e+00	3.295110e-03	0.000000e+00	5.054610e-04
-3.600000e+00	-3.400000e+00	5.502560e-03	9.990000e-05	6.643650e-04
-3.400000e+00	-3.200000e+00	9.486590e-03	8.690050e-04	0.000000e+00
-3.200000e+00	-3.000000e+00	1.259797e-02	5.184850e-04	7.690000e-04
-3.000000e+00	-2.800000e+00	1.772367e-02	1.279635e-03	9.632700e-04
-2.800000e+00	-2.600000e+00	2.248321e-02	1.523325e-03	0.000000e+00
-2.600000e+00	-2.400000e+00	2.707386e-02	1.270335e-03	1.917630e-03
-2.400000e+00	-2.200000e+00	3.386111e-02	2.825685e-03	3.204865e-03
-2.200000e+00	-2.000000e+00	3.815227e-02	3.018045e-03	2.044705e-03
-2.000000e+00	-1.800000e+00	4.413499e-02	3.634370e-03	2.188940e-03
-1.800000e+00	-1.600000e+00	4.853557e-02	4.680850e-03	3.718235e-03
-1.600000e+00	-1.400000e+00	5.174020e-02	4.469575e-03	3.390300e-03
-1.400000e+00	-1.200000e+00	5.599295e-02	6.942110e-03	3.434150e-03
-1.200000e+00	-1.000000e+00	5.626630e-02	2.448400e-03	6.335850e-03
-1.000000e+00	-8.000000e-01	6.017155e-02	6.051150e-03	5.427800e-03
-8.000000e-01	-6.000000e-01	5.910270e-02	3.497250e-03	9.535550e-03
-6.000000e-01	-4.000000e-01	6.567150e-02	1.149985e-02	5.485000e-04
-4.000000e-01	-2.000000e-01	6.219350e-02	4.398400e-03	8.012100e-03
-2.000000e-01	0.000000e+00	6.271970e-02	0.000000e+00	5.214000e-03
0.000000e+00	2.000000e-01	6.389495e-02	6.123850e-03	5.011100e-03
2.000000e-01	4.000000e-01	6.199315e-02	4.375200e-03	6.895450e-03
4.000000e-01	6.000000e-01	6.416525e-02	5.832900e-03	9.713250e-03
6.000000e-01	8.000000e-01	6.039050e-02	4.345400e-03	1.054600e-02
8.000000e-01	1.000000e+00	6.414960e-02	9.116500e-03	0.000000e+00
1.000000e+00	1.200000e+00	5.884730e-02	6.734050e-03	1.820150e-03
1.200000e+00	1.400000e+00	5.365025e-02	1.240800e-03	6.122600e-03
1.400000e+00	1.600000e+00	5.009445e-02	2.412340e-03	7.256700e-03
1.600000e+00	1.800000e+00	4.642762e-02	2.437865e-03	5.058885e-03
1.800000e+00	2.000000e+00	4.351985e-02	4.566410e-03	2.666660e-03
2.000000e+00	2.200000e+00	3.864306e-02	2.216155e-03	2.726005e-03
2.200000e+00	2.400000e+00	3.512741e-02	4.357430e-03	0.000000e+00
2.400000e+00	2.600000e+00	2.976181e-02	2.630065e-03	0.000000e+00
2.600000e+00	2.800000e+00	2.245383e-02	1.008415e-03	2.921555e-03
2.800000e+00	3.000000e+00	1.651445e-02	2.801950e-04	3.154250e-03
3.000000e+00	3.200000e+00	1.364996e-02	1.484300e-03	0.000000e+00
3.200000e+00	3.400000e+00	8.763475e-03	0.000000e+00	8.447650e-04
3.400000e+00	3.600000e+00	5.952675e-03	4.605500e-04	4.860950e-04
3.600000e+00	3.800000e+00	3.582107e-03	3.644290e-04	1.320470e-04
3.800000e+00	4.000000e+00	1.884414e-03	2.900920e-04	2.082755e-04
4.000000e+00	4.200000e+00	7.895060e-04	2.317650e-05	7.392400e-05
4.200000e+00	4.400000e+00	2.587036e-04	4.384355e-05	6.730050e-06
4.400000e+00	4.600000e+00	1.913845e-05	1.176895e-06	7.590915e-06
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_y_incl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_y_incl
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	1.677343e-05	1.320400e-06	5.802395e-06
-4.400000e+00	-4.200000e+00	2.398382e-04	4.351500e-05	2.452700e-05
-4.200000e+00	-4.000000e+00	7.498000e-04	9.769850e-05	1.237600e-04
-4.000000e+00	-3.800000e+00	1.808284e-03	2.973590e-04	1.831230e-04
-3.800000e+00	-3.600000e+00	3.345022e-03	4.183180e-04	5.716620e-04
-3.600000e+00	-3.400000e+00	5.931815e-03	8.635450e-04	5.325050e-04
-3.400000e+00	-3.200000e+00	8.624710e-03	7.627750e-04	1.421465e-03
-3.200000e+00	-3.000000e+00	1.273356e-02	1.436830e-03	1.880590e-03
-3.000000e+00	-2.800000e+00	1.699605e-02	1.456865e-03	2.444820e-03
-2.800000e+00	-2.600000e+00	2.166237e-02	2.022940e-03	2.600175e-03
-2.600000e+00	-2.400000e+00	2.754193e-02	3.587380e-03	2.544700e-03
-2.400000e+00	-2.200000e+00	3.265164e-02	3.724650e-03	4.416830e-03
-2.200000e+00	-2.000000e+00	3.688902e-02	3.361120e-03	5.139675e-03
-2.000000e+00	-1.800000e+00	4.198940e-02	4.724035e-03	5.632595e-03
-1.800000e+00	-1.600000e+00	4.615251e-02	4.691690e-03	6.881345e-03
-1.600000e+00	-1.400000e+00	5.161155e-02	7.507785e-03	4.343600e-03
-1.400000e+00	-1.200000e+00	5.301930e-02	6.001420e-03	6.042300e-03
-1.200000e+00	-1.000000e+00	5.594820e-02	7.586865e-03	7.957700e-03
-1.000000e+00	-8.000000e-01	5.727795e-02	6.201850e-03	8.785800e-03
-8.000000e-01	-6.000000e-01	5.902295e-02	6.352400e-03	1.451585e-02
