# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/dijet_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass_fine
#RatioPlot=1
LogY=1
RatioPlotYMax=1.4
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/dijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/dijet_mass_fine
RatioPlotYLabel=Ratio
Rebin=2
XLabel=$m_{j_1j_2}$ (GeV)
LegendAlign=r
XMax=200.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_2}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_INC/dijet_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	3.480260e-06	3.534550e-07	1.670320e-06
2.000000e+01	2.400000e+01	9.378222e-05	5.426800e-06	2.949238e-05
2.400000e+01	2.800000e+01	3.996272e-04	3.960475e-05	4.532500e-05
2.800000e+01	3.200000e+01	7.991798e-04	3.862500e-07	6.654025e-05
3.200000e+01	3.600000e+01	1.347720e-03	3.044575e-05	7.022250e-06
3.600000e+01	4.000000e+01	1.834127e-03	9.931000e-06	9.137125e-05
4.000000e+01	4.400000e+01	2.385452e-03	1.023270e-04	1.477958e-04
4.400000e+01	4.800000e+01	3.136452e-03	2.816025e-04	6.247500e-06
4.800000e+01	5.200000e+01	3.514763e-03	1.994075e-04	2.066700e-04
5.200000e+01	5.600000e+01	4.278957e-03	2.288675e-04	2.177050e-04
5.600000e+01	6.000000e+01	5.064420e-03	2.810825e-04	4.170075e-04
6.000000e+01	6.400000e+01	6.249590e-03	3.133475e-04	6.308825e-04
6.400000e+01	6.800000e+01	7.890813e-03	5.568000e-04	4.763875e-04
6.800000e+01	7.200000e+01	1.026175e-02	4.032875e-04	9.044925e-04
7.200000e+01	7.600000e+01	1.525194e-02	3.652000e-04	3.862150e-04
7.600000e+01	8.000000e+01	2.638335e-02	1.853815e-03	2.225075e-03
8.000000e+01	8.400000e+01	3.081900e-02	3.416825e-03	3.266775e-03
8.400000e+01	8.800000e+01	1.799739e-02	0.000000e+00	8.364900e-04
8.800000e+01	9.200000e+01	2.012349e-02	2.009280e-03	1.223685e-03
9.200000e+01	9.600000e+01	1.415422e-02	4.695400e-04	0.000000e+00
9.600000e+01	1.000000e+02	9.244337e-03	5.462275e-04	3.514650e-04
1.000000e+02	1.040000e+02	7.302595e-03	2.667350e-04	9.241350e-04
1.040000e+02	1.080000e+02	6.505115e-03	1.162750e-04	3.884700e-04
1.080000e+02	1.120000e+02	6.081302e-03	3.103675e-04	3.184250e-04
1.120000e+02	1.160000e+02	5.846270e-03	3.199975e-04	5.674325e-04
1.160000e+02	1.200000e+02	5.610617e-03	0.000000e+00	1.507850e-04
1.200000e+02	1.240000e+02	5.478540e-03	2.803050e-04	2.265775e-04
1.240000e+02	1.280000e+02	5.364598e-03	3.809425e-04	9.439250e-05
1.280000e+02	1.320000e+02	5.001063e-03	7.909750e-05	4.555975e-04
1.320000e+02	1.360000e+02	4.978448e-03	1.519875e-04	2.136550e-04
1.360000e+02	1.400000e+02	4.981595e-03	1.737875e-04	2.152725e-04
1.400000e+02	1.440000e+02	4.888857e-03	2.222825e-04	7.753500e-05
1.440000e+02	1.480000e+02	4.734808e-03	9.417750e-05	2.047700e-04
1.480000e+02	1.520000e+02	4.579247e-03	8.147250e-05	2.888050e-04
1.520000e+02	1.560000e+02	4.608850e-03	4.063225e-04	1.512300e-04
1.560000e+02	1.600000e+02	4.445162e-03	1.016600e-04	3.390450e-04
1.600000e+02	1.640000e+02	4.455880e-03	9.651750e-05	1.953550e-04
1.640000e+02	1.680000e+02	4.512535e-03	2.802175e-04	1.576325e-04
1.680000e+02	1.720000e+02	4.322513e-03	0.000000e+00	1.602025e-04
1.720000e+02	1.760000e+02	4.331665e-03	1.946250e-04	1.354575e-04
1.760000e+02	1.800000e+02	4.425425e-03	2.985625e-04	4.536500e-05
1.800000e+02	1.840000e+02	4.164905e-03	1.006250e-04	1.135950e-04
1.840000e+02	1.880000e+02	4.084532e-03	2.802000e-05	1.842700e-04
1.880000e+02	1.920000e+02	4.039232e-03	0.000000e+00	1.399350e-04
1.920000e+02	1.960000e+02	4.076985e-03	5.185000e-05	6.930750e-05
1.960000e+02	2.000000e+02	3.978352e-03	1.258200e-04	1.107550e-04
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass_fine
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	3.776757e-06	1.893510e-06	1.763392e-06
2.000000e+01	2.400000e+01	9.415417e-05	6.660475e-06	4.057815e-05
2.400000e+01	2.800000e+01	3.786820e-04	1.722725e-05	5.494025e-05
2.800000e+01	3.200000e+01	8.110162e-04	2.210025e-05	8.177275e-05
3.200000e+01	3.600000e+01	1.319154e-03	0.000000e+00	5.124825e-05
3.600000e+01	4.000000e+01	1.856004e-03	1.166975e-05	8.908275e-05
4.000000e+01	4.400000e+01	2.396224e-03	3.739225e-05	1.199708e-04
4.400000e+01	4.800000e+01	2.919632e-03	9.901250e-05	2.169600e-04
4.800000e+01	5.200000e+01	3.524303e-03	1.694600e-04	3.067900e-04
5.200000e+01	5.600000e+01	4.236260e-03	2.246275e-04	4.668850e-04
5.600000e+01	6.000000e+01	5.083832e-03	2.750250e-04	5.524300e-04
6.000000e+01	6.400000e+01	6.176997e-03	2.988600e-04	5.503225e-04
6.400000e+01	6.800000e+01	7.835690e-03	4.093275e-04	6.122425e-04
6.800000e+01	7.200000e+01	1.041614e-02	5.178275e-04	9.261850e-04
7.200000e+01	7.600000e+01	1.538825e-02	5.238125e-04	6.599975e-04
7.600000e+01	8.000000e+01	2.692045e-02	2.594520e-03	2.239175e-03
8.000000e+01	8.400000e+01	3.079905e-02	3.529825e-03	3.839750e-03
8.400000e+01	8.800000e+01	1.883148e-02	6.316200e-04	0.000000e+00
8.800000e+01	9.200000e+01	1.987304e-02	1.464203e-03	1.700035e-03
9.200000e+01	9.600000e+01	1.424974e-02	3.424100e-04	5.931250e-05
9.600000e+01	1.000000e+02	9.248505e-03	6.358150e-04	4.414600e-04
1.000000e+02	1.040000e+02	7.432495e-03	4.818000e-04	5.515425e-04
1.040000e+02	1.080000e+02	6.511572e-03	3.894250e-04	5.617025e-04
1.080000e+02	1.120000e+02	6.047825e-03	3.569400e-04	4.731925e-04
1.120000e+02	1.160000e+02	5.689273e-03	3.390975e-04	4.677475e-04
1.160000e+02	1.200000e+02	5.448273e-03	1.968700e-04	4.630450e-04
1.200000e+02	1.240000e+02	5.328923e-03	3.121350e-04	3.568650e-04
