# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/dijet_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=1.4
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/dijet_mass
RatioPlotYLabel=Ratio
Rebin=2
XLabel=$m_{j_1j_2}$ (GeV)
LegendAlign=r
XMax=1000.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_2}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_INC/dijet_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/dijet_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	4.477918e-04	0.000000e+00	1.401175e-05
4.000000e+01	8.000000e+01	8.441750e-03	5.068500e-05	1.539575e-04
8.000000e+01	1.200000e+02	1.236844e-02	2.382575e-04	3.195550e-04
1.200000e+02	1.600000e+02	4.906117e-03	1.972050e-04	2.266875e-04
1.600000e+02	2.000000e+02	4.239202e-03	9.966500e-05	1.215925e-04
2.000000e+02	2.400000e+02	3.713825e-03	0.000000e+00	8.426750e-05
2.400000e+02	2.800000e+02	3.424287e-03	1.280250e-04	0.000000e+00
2.800000e+02	3.200000e+02	3.015333e-03	0.000000e+00	4.101250e-05
3.200000e+02	3.600000e+02	2.809560e-03	4.616000e-05	4.910750e-05
3.600000e+02	4.000000e+02	2.597785e-03	2.385750e-05	4.316250e-05
4.000000e+02	4.400000e+02	2.426114e-03	2.923325e-05	2.139350e-05
4.400000e+02	4.800000e+02	2.288049e-03	7.220875e-05	0.000000e+00
4.800000e+02	5.200000e+02	2.090480e-03	2.115275e-05	1.965775e-05
5.200000e+02	5.600000e+02	1.966957e-03	0.000000e+00	1.386050e-05
5.600000e+02	6.000000e+02	1.850228e-03	5.598425e-05	5.069500e-06
6.000000e+02	6.400000e+02	1.706650e-03	3.844500e-05	3.741075e-05
6.400000e+02	6.800000e+02	1.584229e-03	3.614375e-05	3.615675e-05
6.800000e+02	7.200000e+02	1.500896e-03	2.846200e-05	0.000000e+00
7.200000e+02	7.600000e+02	1.388158e-03	2.269375e-05	1.792250e-05
7.600000e+02	8.000000e+02	1.288653e-03	5.198750e-06	3.222700e-05
8.000000e+02	8.400000e+02	1.213364e-03	3.196800e-05	6.679750e-06
8.400000e+02	8.800000e+02	1.183383e-03	6.788775e-05	0.000000e+00
8.800000e+02	9.200000e+02	1.060909e-03	7.836500e-06	0.000000e+00
9.200000e+02	9.600000e+02	9.903240e-04	1.456800e-05	2.179425e-05
9.600000e+02	1.000000e+03	9.348930e-04	1.153925e-04	0.000000e+00
1.000000e+03	1.040000e+03	8.748845e-04	1.230400e-05	8.318500e-06
1.040000e+03	1.080000e+03	8.200400e-04	1.390075e-05	1.202500e-05
1.080000e+03	1.120000e+03	7.757092e-04	1.006000e-06	0.000000e+00
1.120000e+03	1.160000e+03	7.194907e-04	0.000000e+00	2.184975e-05
1.160000e+03	1.200000e+03	6.847952e-04	2.225875e-05	0.000000e+00
1.200000e+03	1.240000e+03	6.371157e-04	2.681000e-06	1.619250e-06
1.240000e+03	1.280000e+03	6.010473e-04	0.000000e+00	3.151000e-06
1.280000e+03	1.320000e+03	5.655195e-04	0.000000e+00	1.375525e-05
1.320000e+03	1.360000e+03	5.274572e-04	2.800250e-06	2.315000e-06
1.360000e+03	1.400000e+03	5.051950e-04	1.237625e-05	0.000000e+00
1.400000e+03	1.440000e+03	4.733358e-04	6.705750e-06	2.260000e-06
1.440000e+03	1.480000e+03	4.471935e-04	6.971250e-06	4.999500e-06
1.480000e+03	1.520000e+03	4.153838e-04	0.000000e+00	1.952500e-06
1.520000e+03	1.560000e+03	3.950612e-04	4.324000e-06	8.710000e-07
1.560000e+03	1.600000e+03	3.760297e-04	5.117750e-06	0.000000e+00
1.600000e+03	1.640000e+03	3.533663e-04	9.438000e-06	0.000000e+00
1.640000e+03	1.680000e+03	3.309150e-04	2.126500e-06	3.152500e-07
1.680000e+03	1.720000e+03	3.118238e-04	1.799200e-05	7.265000e-07
1.720000e+03	1.760000e+03	3.010753e-04	8.965250e-06	0.000000e+00
1.760000e+03	1.800000e+03	2.847837e-04	4.307000e-06	6.631500e-06
1.800000e+03	1.840000e+03	2.678060e-04	5.925250e-06	0.000000e+00
1.840000e+03	1.880000e+03	2.494538e-04	1.494150e-06	3.634475e-06
1.880000e+03	1.920000e+03	2.380159e-04	2.846925e-06	8.066250e-07
1.920000e+03	1.960000e+03	2.198067e-04	0.000000e+00	2.771400e-06
1.960000e+03	2.000000e+03	2.123271e-04	2.811100e-06	0.000000e+00
2.000000e+03	2.040000e+03	1.972838e-04	1.395000e-07	2.793100e-06
