# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/y1j_yj2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/y1j_yj2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/y1j_yj2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/y1j_yj2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/y1j_yj2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/y1j_yj2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/y1j_yj2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/y1j_yj2
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/y1j_yj2
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/y1j_yj2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/y1j_yj2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/y1j_yj2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/y1j_yj2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/y1j_yj2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/y1j_yj2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/y1j_yj2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/y1j_yj2
XLabel=$y_{j_1}*y_{j_2}$
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{j_1}*y_{j_2}$ (fb)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_LOOSE/y1j_yj2
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/y1j_yj2
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/y1j_yj2
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+01	-9.600000e+00	7.817925e-02	5.890000e-04	0.000000e+00
-9.600000e+00	-9.200000e+00	8.555682e-02	0.000000e+00	3.239250e-04
-9.200000e+00	-8.800000e+00	9.492773e-02	1.560925e-03	0.000000e+00
-8.800000e+00	-8.400000e+00	1.028930e-01	1.785750e-04	0.000000e+00
-8.400000e+00	-8.000000e+00	1.125614e-01	0.000000e+00	3.378500e-04
-8.000000e+00	-7.600000e+00	1.215611e-01	6.089750e-04	8.764000e-04
-7.600000e+00	-7.200000e+00	1.308642e-01	2.681750e-03	1.444350e-03
-7.200000e+00	-6.800000e+00	1.466141e-01	8.278325e-03	0.000000e+00
-6.800000e+00	-6.400000e+00	1.504751e-01	4.437300e-03	1.816700e-03
-6.400000e+00	-6.000000e+00	1.602961e-01	2.195875e-03	2.586575e-03
-6.000000e+00	-5.600000e+00	1.712338e-01	4.444325e-03	1.971375e-03
-5.600000e+00	-5.200000e+00	1.801204e-01	3.875625e-03	1.398375e-03
-5.200000e+00	-4.800000e+00	1.899045e-01	5.470175e-03	3.077325e-03
-4.800000e+00	-4.400000e+00	1.970607e-01	4.596600e-03	6.310025e-03
-4.400000e+00	-4.000000e+00	2.049143e-01	5.076850e-03	7.148675e-03
-4.000000e+00	-3.600000e+00	2.127577e-01	6.008550e-03	4.498450e-03
-3.600000e+00	-3.200000e+00	2.187985e-01	5.400975e-03	4.690075e-03
-3.200000e+00	-2.800000e+00	2.225488e-01	6.543675e-03	4.186225e-03
-2.800000e+00	-2.400000e+00	2.212543e-01	0.000000e+00	5.575350e-03
-2.400000e+00	-2.000000e+00	2.171058e-01	2.773925e-03	4.890525e-03
-2.000000e+00	-1.600000e+00	2.103942e-01	5.156850e-03	2.929600e-03
-1.600000e+00	-1.200000e+00	1.971897e-01	2.673450e-03	6.372250e-04
-1.200000e+00	-8.000000e-01	1.805961e-01	1.999025e-03	3.254100e-03
-8.000000e-01	-4.000000e-01	1.660884e-01	0.000000e+00	4.404725e-03
-4.000000e-01	0.000000e+00	1.455918e-01	3.582850e-03	2.098625e-03
0.000000e+00	4.000000e-01	1.148274e-01	6.256375e-03	0.000000e+00
4.000000e-01	8.000000e-01	8.853725e-02	4.631000e-04	0.000000e+00
8.000000e-01	1.200000e+00	7.266763e-02	6.955250e-04	9.335750e-04
1.200000e+00	1.600000e+00	5.925547e-02	3.212500e-05	1.330500e-03
1.600000e+00	2.000000e+00	5.004433e-02	8.692300e-03	0.000000e+00
2.000000e+00	2.400000e+00	3.958263e-02	0.000000e+00	3.814400e-03
2.400000e+00	2.800000e+00	3.501250e-02	1.380600e-03	0.000000e+00
2.800000e+00	3.200000e+00	2.799975e-02	0.000000e+00	3.993750e-04
3.200000e+00	3.600000e+00	2.339416e-02	1.107177e-03	0.000000e+00
3.600000e+00	4.000000e+00	1.896241e-02	1.230935e-03	1.629050e-04
4.000000e+00	4.400000e+00	1.520849e-02	2.944150e-04	5.602300e-04
4.400000e+00	4.800000e+00	1.248557e-02	3.407475e-04	0.000000e+00
4.800000e+00	5.200000e+00	1.024302e-02	2.215975e-04	1.541250e-05
5.200000e+00	5.600000e+00	7.606338e-03	0.000000e+00	7.255150e-04
5.600000e+00	6.000000e+00	6.314662e-03	8.757250e-05	3.978500e-05
6.000000e+00	6.400000e+00	4.581995e-03	0.000000e+00	2.245375e-04
6.400000e+00	6.800000e+00	3.946958e-03	4.991000e-04	4.412400e-04
6.800000e+00	7.200000e+00	3.425997e-03	6.972000e-04	0.000000e+00
7.200000e+00	7.600000e+00	1.388597e-03	0.000000e+00	9.553615e-04
7.600000e+00	8.000000e+00	1.645797e-03	1.785795e-04	1.082350e-04
8.000000e+00	8.400000e+00	1.201537e-03	7.145600e-05	1.218922e-04
8.400000e+00	8.800000e+00	9.257370e-04	9.770325e-05	0.000000e+00
8.800000e+00	9.200000e+00	6.260648e-04	4.752325e-05	0.000000e+00
9.200000e+00	9.600000e+00	4.675722e-04	3.631925e-05	0.000000e+00
9.600000e+00	1.000000e+01	3.096945e-04	0.000000e+00	5.631125e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/y1j_yj2
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/y1j_yj2
