# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet4_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet4_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=3.0
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet4_mass
RatioPlotYLabel=Ratio
Rebin=2
XLabel=$m_{j_4}$ (GeV)
LegendAlign=r
XMax=60 
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_4}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_LOOSE/jet4_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet4_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet4_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.651403e-02	1.568190e-03	5.126170e-03
1.000000e+00	2.000000e+00	2.705166e-03	0.000000e+00	5.910020e-04
2.000000e+00	3.000000e+00	1.716469e-03	9.657900e-05	0.000000e+00
3.000000e+00	4.000000e+00	5.542016e-03	5.065030e-04	4.712000e-05
4.000000e+00	5.000000e+00	7.692598e-03	9.228830e-04	1.242410e-04
5.000000e+00	6.000000e+00	9.118298e-03	1.713465e-03	5.658680e-04
6.000000e+00	7.000000e+00	9.619527e-03	2.353242e-03	1.100253e-03
7.000000e+00	8.000000e+00	8.500281e-03	1.586862e-03	2.476319e-03
8.000000e+00	9.000000e+00	7.585778e-03	2.033612e-03	3.973352e-03
9.000000e+00	1.000000e+01	6.693817e-03	2.368429e-03	2.106237e-03
1.000000e+01	1.100000e+01	5.498955e-03	2.219167e-03	2.033569e-03
1.100000e+01	1.200000e+01	4.020152e-03	1.530283e-03	2.168986e-03
1.200000e+01	1.300000e+01	4.954453e-03	3.162907e-03	0.000000e+00
1.300000e+01	1.400000e+01	2.573050e-03	1.163724e-03	1.230273e-03
1.400000e+01	1.500000e+01	1.817680e-03	7.051020e-04	1.457013e-03
1.500000e+01	1.600000e+01	1.558976e-03	6.636197e-04	8.754040e-04
1.600000e+01	1.700000e+01	1.231352e-03	5.635024e-04	7.715510e-04
1.700000e+01	1.800000e+01	9.265793e-04	4.143534e-04	7.602257e-04
1.800000e+01	1.900000e+01	8.333222e-04	4.349042e-04	4.725238e-04
1.900000e+01	2.000000e+01	6.507158e-04	2.806643e-04	3.570932e-04
2.000000e+01	2.100000e+01	4.952324e-04	2.360640e-04	3.439601e-04
2.100000e+01	2.200000e+01	4.496350e-04	2.697732e-04	2.465429e-04
2.200000e+01	2.300000e+01	3.011620e-04	1.626132e-04	2.074965e-04
2.300000e+01	2.400000e+01	2.575733e-04	1.277838e-04	1.802881e-04
2.400000e+01	2.500000e+01	1.809874e-04	8.853179e-05	1.329743e-04
2.500000e+01	2.600000e+01	1.942302e-04	1.170706e-04	7.864110e-05
2.600000e+01	2.700000e+01	1.332353e-04	7.716066e-05	7.891870e-05
2.700000e+01	2.800000e+01	9.731779e-05	4.775087e-05	5.522901e-05
2.800000e+01	2.900000e+01	7.671000e-05	3.703622e-05	7.276670e-05
2.900000e+01	3.000000e+01	6.120255e-05	3.470348e-05	7.332585e-05
3.000000e+01	3.100000e+01	4.813569e-05	2.826935e-05	4.957245e-05
3.100000e+01	3.200000e+01	4.180441e-05	2.379693e-05	3.887409e-05
3.200000e+01	3.300000e+01	3.279956e-05	1.609453e-05	1.162549e-05
3.300000e+01	3.400000e+01	3.065464e-05	1.866963e-05	2.946001e-05
3.400000e+01	3.500000e+01	2.409412e-05	1.364082e-05	3.250119e-05
3.500000e+01	3.600000e+01	1.835878e-05	8.150770e-06	2.116426e-05
3.600000e+01	3.700000e+01	1.256908e-05	6.244813e-06	2.271202e-05
3.700000e+01	3.800000e+01	1.144116e-05	6.315228e-06	1.423572e-05
3.800000e+01	3.900000e+01	1.172649e-05	7.211598e-06	7.764330e-06
3.900000e+01	4.000000e+01	1.179893e-05	7.160076e-06	4.340800e-07
4.000000e+01	4.100000e+01	8.884929e-06	4.986284e-06	8.556621e-06
4.100000e+01	4.200000e+01	6.788284e-06	2.733134e-06	7.435176e-06
4.200000e+01	4.300000e+01	5.812483e-06	2.144029e-06	2.283462e-05
4.300000e+01	4.400000e+01	6.283912e-06	3.908876e-06	2.884281e-06
4.400000e+01	4.500000e+01	4.701353e-06	1.154348e-06	4.398992e-06
4.500000e+01	4.600000e+01	3.224054e-06	1.067586e-06	4.916163e-06
4.600000e+01	4.700000e+01	3.383454e-06	1.068589e-06	3.280639e-06
4.700000e+01	4.800000e+01	2.909899e-06	1.489281e-06	1.595494e-06
4.800000e+01	4.900000e+01	2.744146e-06	1.549309e-06	2.841089e-06
4.900000e+01	5.000000e+01	3.011005e-06	2.103606e-06	2.413340e-06
5.000000e+01	5.100000e+01	2.173741e-06	1.478908e-06	1.595785e-06
5.100000e+01	5.200000e+01	1.724720e-06	6.539730e-07	2.375909e-06
5.200000e+01	5.300000e+01	1.300060e-06	9.872955e-07	1.136650e-06
5.300000e+01	5.400000e+01	1.637954e-06	3.020720e-07	1.288248e-06
5.400000e+01	5.500000e+01	9.528248e-07	3.147079e-07	1.654273e-06
5.500000e+01	5.600000e+01	9.630947e-07	7.017995e-07	1.223681e-06
5.600000e+01	5.700000e+01	1.199386e-06	8.769901e-07	1.470240e-06
