# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y
#RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y
XLabel=$y_{j_3}^{\star}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{j_3}^{\star}$ (fb)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_LOOSE/jet3_y
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	4.169062e-04	1.212127e-04	0.000000e+00
-4.600000e+00	-4.200000e+00	5.383005e-04	0.000000e+00	9.158925e-05
-4.200000e+00	-3.800000e+00	7.580305e-04	0.000000e+00	2.835580e-04
-3.800000e+00	-3.400000e+00	1.457845e-03	0.000000e+00	3.307868e-04
-3.400000e+00	-3.000000e+00	2.312281e-03	4.528895e-04	0.000000e+00
-3.000000e+00	-2.600000e+00	3.594358e-03	1.671056e-03	2.893250e-05
-2.600000e+00	-2.200000e+00	9.921108e-03	5.380890e-03	0.000000e+00
-2.200000e+00	-1.800000e+00	9.365277e-03	0.000000e+00	1.999525e-04
-1.800000e+00	-1.400000e+00	1.842902e-02	3.271548e-03	1.476668e-03
-1.400000e+00	-1.000000e+00	5.090123e-02	7.531450e-03	2.955325e-03
-1.000000e+00	-6.000000e-01	1.858404e-01	1.163018e-02	1.417885e-02
-6.000000e-01	-2.000000e-01	2.245857e-01	1.350702e-02	4.307100e-03
-2.000000e-01	2.000000e-01	1.286914e-01	1.481465e-02	4.519050e-03
2.000000e-01	6.000000e-01	2.243211e-01	1.098827e-02	1.662983e-02
6.000000e-01	1.000000e+00	1.832435e-01	1.127320e-02	1.660448e-02
1.000000e+00	1.400000e+00	4.931330e-02	0.000000e+00	4.918175e-03
1.400000e+00	1.800000e+00	1.805093e-02	2.542540e-03	1.379657e-03
1.800000e+00	2.200000e+00	8.530227e-03	9.211775e-04	1.166772e-03
2.200000e+00	2.600000e+00	5.111648e-03	4.526125e-04	4.221525e-04
2.600000e+00	3.000000e+00	2.547230e-03	0.000000e+00	1.204810e-03
3.000000e+00	3.400000e+00	2.106448e-03	2.818307e-04	4.613693e-04
3.400000e+00	3.800000e+00	1.388491e-03	0.000000e+00	1.266153e-04
3.800000e+00	4.200000e+00	7.189825e-04	0.000000e+00	2.804617e-04
4.200000e+00	4.600000e+00	5.881235e-04	9.699450e-05	0.000000e+00
4.600000e+00	5.000000e+00	4.087365e-04	6.156950e-05	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	3.604282e-04	5.469625e-05	7.870075e-05
-4.600000e+00	-4.200000e+00	5.428653e-04	2.948650e-05	1.498098e-04
-4.200000e+00	-3.800000e+00	9.076925e-04	1.251465e-04	1.763145e-04
-3.800000e+00	-3.400000e+00	1.364296e-03	1.971390e-04	4.136948e-04
-3.400000e+00	-3.000000e+00	1.935070e-03	1.826950e-04	5.105965e-04
-3.000000e+00	-2.600000e+00	3.133893e-03	3.899375e-04	5.813150e-04
-2.600000e+00	-2.200000e+00	4.953923e-03	8.514175e-04	8.913050e-04
-2.200000e+00	-1.800000e+00	8.291360e-03	1.329365e-03	1.312012e-03
-1.800000e+00	-1.400000e+00	1.695953e-02	2.483093e-03	2.214077e-03
-1.400000e+00	-1.000000e+00	4.820403e-02	6.006650e-03	7.192725e-03
-1.000000e+00	-6.000000e-01	1.813532e-01	1.989607e-02	2.455548e-02
-6.000000e-01	-2.000000e-01	2.207791e-01	2.316823e-02	2.569195e-02
-2.000000e-01	2.000000e-01	1.216218e-01	1.410815e-02	1.693360e-02
2.000000e-01	6.000000e-01	2.210266e-01	2.263187e-02	2.683532e-02
6.000000e-01	1.000000e+00	1.815512e-01	1.979970e-02	2.335380e-02
1.000000e+00	1.400000e+00	4.819123e-02	6.049900e-03	7.338125e-03
1.400000e+00	1.800000e+00	1.677948e-02	2.601338e-03	3.213522e-03
1.800000e+00	2.200000e+00	8.077935e-03	1.205780e-03	1.507405e-03
