# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/jet1_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=2.5
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/jet1_mass
RatioPlotYLabel=Ratio
Rebin=2
XLabel=$m_{j_1}$ (GeV) 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_LOOSE/jet1_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	3.111199e-01	9.863180e-02	2.029638e-01
1.000000e+00	2.000000e+00	3.394650e-02	1.057154e-02	2.167299e-02
2.000000e+00	3.000000e+00	2.429439e-02	7.145830e-03	3.480030e-03
3.000000e+00	4.000000e+00	7.033138e-02	1.890291e-02	5.300590e-03
4.000000e+00	5.000000e+00	8.175986e-02	1.686688e-02	3.451730e-03
5.000000e+00	6.000000e+00	8.787288e-02	1.454355e-02	2.011300e-03
6.000000e+00	7.000000e+00	9.385833e-02	1.147806e-02	0.000000e+00
7.000000e+00	8.000000e+00	9.796720e-02	8.424320e-03	0.000000e+00
8.000000e+00	9.000000e+00	9.945640e-02	5.937100e-03	0.000000e+00
9.000000e+00	1.000000e+01	9.876759e-02	9.597500e-03	0.000000e+00
1.000000e+01	1.100000e+01	9.368453e-02	1.013058e-02	7.714800e-04
1.100000e+01	1.200000e+01	8.790046e-02	1.039911e-02	3.866110e-03
1.200000e+01	1.300000e+01	8.414682e-02	1.347464e-02	2.966950e-03
1.300000e+01	1.400000e+01	7.531956e-02	1.135560e-02	5.769260e-03
1.400000e+01	1.500000e+01	6.890038e-02	1.199754e-02	6.358090e-03
1.500000e+01	1.600000e+01	6.178864e-02	1.003871e-02	8.479880e-03
1.600000e+01	1.700000e+01	5.620442e-02	1.010064e-02	7.410490e-03
1.700000e+01	1.800000e+01	5.226486e-02	8.752410e-03	7.926520e-03
1.800000e+01	1.900000e+01	4.630927e-02	8.786690e-03	6.804750e-03
1.900000e+01	2.000000e+01	4.108467e-02	7.462690e-03	8.508490e-03
2.000000e+01	2.100000e+01	3.782181e-02	8.191880e-03	8.210450e-03
2.100000e+01	2.200000e+01	3.419064e-02	7.694050e-03	7.420520e-03
2.200000e+01	2.300000e+01	3.112745e-02	6.795790e-03	6.421530e-03
2.300000e+01	2.400000e+01	2.852882e-02	6.957870e-03	5.416320e-03
2.400000e+01	2.500000e+01	2.503881e-02	5.191650e-03	6.453810e-03
2.500000e+01	2.600000e+01	2.314596e-02	5.582570e-03	5.316030e-03
2.600000e+01	2.700000e+01	2.097406e-02	4.740510e-03	4.759150e-03
2.700000e+01	2.800000e+01	1.897044e-02	4.572110e-03	5.105060e-03
2.800000e+01	2.900000e+01	1.677224e-02	3.199490e-03	4.683210e-03
2.900000e+01	3.000000e+01	1.554477e-02	3.319520e-03	3.963900e-03
3.000000e+01	3.100000e+01	1.432788e-02	3.750330e-03	3.667640e-03
3.100000e+01	3.200000e+01	1.300141e-02	3.284930e-03	5.533860e-03
3.200000e+01	3.300000e+01	1.222468e-02	2.993602e-03	2.690310e-03
3.300000e+01	3.400000e+01	1.094098e-02	2.703527e-03	2.586730e-03
3.400000e+01	3.500000e+01	9.789855e-03	2.630846e-03	2.787385e-03
3.500000e+01	3.600000e+01	8.769940e-03	2.158689e-03	0.000000e+00
3.600000e+01	3.700000e+01	7.992621e-03	1.661233e-03	2.154699e-03
3.700000e+01	3.800000e+01	7.582215e-03	2.360367e-03	1.655467e-03
3.800000e+01	3.900000e+01	6.725724e-03	1.597206e-03	2.279304e-03
3.900000e+01	4.000000e+01	6.717534e-03	2.096539e-03	1.113005e-03
4.000000e+01	4.100000e+01	5.690241e-03	1.360851e-03	1.396323e-03
4.100000e+01	4.200000e+01	5.459163e-03	1.652078e-03	1.218353e-03
4.200000e+01	4.300000e+01	4.723937e-03	9.370550e-04	1.334053e-03
4.300000e+01	4.400000e+01	4.539998e-03	1.294705e-03	1.121018e-03
4.400000e+01	4.500000e+01	3.833292e-03	5.777030e-04	1.868743e-03
4.500000e+01	4.600000e+01	3.518658e-03	7.954530e-04	1.156768e-03
4.600000e+01	4.700000e+01	3.352786e-03	1.079527e-03	7.596610e-04
4.700000e+01	4.800000e+01	2.903720e-03	5.130780e-04	1.320470e-03
4.800000e+01	4.900000e+01	2.899142e-03	6.386730e-04	1.168684e-03
4.900000e+01	5.000000e+01	2.631499e-03	5.822270e-04	7.307440e-04
5.000000e+01	5.100000e+01	2.387711e-03	5.251510e-04	6.988560e-04
5.100000e+01	5.200000e+01	2.192690e-03	4.163170e-04	5.695140e-04
