# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_jj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_jj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_jj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_jj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_jj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/H_jj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/H_jj_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_jj_pT_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_jj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_jj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_jj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_jj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_jj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/H_jj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/H_jj_pT_incl
XLabel=$p_{T,j_1j_2}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_1j_2}^{incl}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.4
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_LOOSE/H_jj_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_jj_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_jj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.421668e-03	1.655700e-05	0.000000e+00
1.000000e+01	2.000000e+01	6.485227e-03	9.678100e-05	1.456600e-05
2.000000e+01	3.000000e+01	9.440578e-03	0.000000e+00	1.329190e-04
3.000000e+01	4.000000e+01	1.180735e-02	1.099600e-04	0.000000e+00
4.000000e+01	5.000000e+01	1.343271e-02	1.032100e-04	3.428000e-05
5.000000e+01	6.000000e+01	1.499797e-02	1.172100e-04	1.337000e-04
6.000000e+01	7.000000e+01	1.599166e-02	4.552000e-05	3.992600e-04
7.000000e+01	8.000000e+01	1.601009e-02	1.636300e-04	3.125700e-04
8.000000e+01	9.000000e+01	1.558805e-02	2.375700e-04	8.601000e-05
9.000000e+01	1.000000e+02	1.442532e-02	3.273700e-04	1.921500e-04
1.000000e+02	1.100000e+02	1.298410e-02	1.260400e-04	1.781700e-04
1.100000e+02	1.200000e+02	1.166820e-02	3.715300e-04	0.000000e+00
1.200000e+02	1.300000e+02	9.931236e-03	1.458030e-04	2.288440e-04
1.300000e+02	1.400000e+02	8.588165e-03	3.070420e-04	7.313100e-05
1.400000e+02	1.500000e+02	7.184994e-03	0.000000e+00	1.073960e-04
1.500000e+02	1.600000e+02	6.065693e-03	1.928740e-04	1.247850e-04
1.600000e+02	1.700000e+02	5.159469e-03	1.670500e-04	1.511300e-05
1.700000e+02	1.800000e+02	4.328623e-03	1.596580e-04	0.000000e+00
1.800000e+02	1.900000e+02	3.575927e-03	0.000000e+00	7.406800e-05
1.900000e+02	2.000000e+02	3.029133e-03	0.000000e+00	4.036400e-05
2.000000e+02	2.100000e+02	2.562838e-03	6.321500e-05	3.098800e-05
2.100000e+02	2.200000e+02	2.106473e-03	3.183300e-05	0.000000e+00
2.200000e+02	2.300000e+02	1.788460e-03	0.000000e+00	3.499000e-05
2.300000e+02	2.400000e+02	1.535941e-03	6.388800e-05	0.000000e+00
2.400000e+02	2.500000e+02	1.329926e-03	4.977400e-05	0.000000e+00
2.500000e+02	2.600000e+02	1.125755e-03	9.122000e-06	0.000000e+00
2.600000e+02	2.700000e+02	9.651609e-04	2.315580e-05	1.839040e-05
2.700000e+02	2.800000e+02	7.810143e-04	8.598700e-06	1.979470e-05
2.800000e+02	2.900000e+02	7.061201e-04	2.609560e-05	0.000000e+00
2.900000e+02	3.000000e+02	6.019487e-04	3.295590e-05	5.337900e-06
3.000000e+02	3.100000e+02	4.783788e-04	0.000000e+00	2.489910e-05
3.100000e+02	3.200000e+02	4.662381e-04	4.747960e-05	0.000000e+00
3.200000e+02	3.300000e+02	5.621325e-04	2.221491e-04	0.000000e+00
3.300000e+02	3.400000e+02	2.957210e-04	0.000000e+00	5.763570e-05
3.400000e+02	3.500000e+02	2.836788e-04	0.000000e+00	4.171100e-06
3.500000e+02	3.600000e+02	2.691956e-04	3.420170e-05	0.000000e+00
3.600000e+02	3.700000e+02	2.120982e-04	7.623320e-05	0.000000e+00
3.700000e+02	3.800000e+02	1.784701e-04	0.000000e+00	2.992520e-05
3.800000e+02	3.900000e+02	1.779511e-04	2.779800e-06	0.000000e+00
3.900000e+02	4.000000e+02	1.421459e-04	0.000000e+00	3.553400e-05
4.000000e+02	4.100000e+02	1.255660e-04	1.008900e-06	6.422310e-05
4.100000e+02	4.200000e+02	1.170578e-04	1.370260e-05	0.000000e+00
4.200000e+02	4.300000e+02	9.330271e-05	0.000000e+00	2.676470e-06
4.300000e+02	4.400000e+02	8.839425e-05	3.080170e-06	0.000000e+00
4.400000e+02	4.500000e+02	7.033832e-05	7.786480e-06	4.097390e-06
4.500000e+02	4.600000e+02	5.904589e-05	0.000000e+00	3.017419e-05
4.600000e+02	4.700000e+02	6.842533e-05	1.283498e-05	0.000000e+00
4.700000e+02	4.800000e+02	4.735236e-05	7.181100e-07	4.799970e-06
4.800000e+02	4.900000e+02	4.246283e-05	0.000000e+00	9.982660e-06
4.900000e+02	5.000000e+02	4.371698e-05	5.609020e-06	5.284620e-06
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_jj_pT_incl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_jj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.399265e-03	0.000000e+00	3.491900e-05
