# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=2.5
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass
RatioPlotYLabel=Ratio
Rebin=2
XLabel=$m_{j_1j_2j_3j_4}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_2j_3j_4}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/j1j2j3j4_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	4.000000e+01	0.000000e+00	1.647553e-10	0.000000e+00
4.000000e+01	5.000000e+01	1.004797e-08	2.333751e-09	2.770570e-09
5.000000e+01	6.000000e+01	9.452850e-08	0.000000e+00	2.140065e-07
6.000000e+01	7.000000e+01	8.297211e-07	4.480643e-07	0.000000e+00
7.000000e+01	8.000000e+01	4.083247e-06	1.107898e-05	3.355110e-07
8.000000e+01	9.000000e+01	9.902065e-06	2.342174e-06	9.665850e-07
9.000000e+01	1.000000e+02	1.027334e-05	1.297149e-06	3.822670e-06
1.000000e+02	1.100000e+02	1.631203e-05	1.041050e-06	4.516400e-06
1.100000e+02	1.200000e+02	1.784029e-05	0.000000e+00	1.933778e-05
1.200000e+02	1.300000e+02	4.561707e-05	4.700000e-10	1.728242e-05
1.300000e+02	1.400000e+02	6.696339e-05	0.000000e+00	1.797951e-05
1.400000e+02	1.500000e+02	1.055277e-04	1.883800e-06	2.720190e-05
1.500000e+02	1.600000e+02	1.366748e-04	0.000000e+00	4.350990e-05
1.600000e+02	1.700000e+02	1.940382e-04	4.389700e-06	4.663510e-05
1.700000e+02	1.800000e+02	2.537810e-04	4.986890e-05	3.279260e-05
1.800000e+02	1.900000e+02	2.415308e-04	0.000000e+00	1.985570e-05
1.900000e+02	2.000000e+02	2.731014e-04	2.298370e-05	5.728020e-05
2.000000e+02	2.100000e+02	3.225627e-04	5.878640e-05	2.355020e-05
2.100000e+02	2.200000e+02	3.053495e-04	8.889100e-06	6.544540e-05
2.200000e+02	2.300000e+02	3.414330e-04	3.718310e-05	7.847810e-05
2.300000e+02	2.400000e+02	3.737630e-04	5.397310e-05	1.037940e-05
2.400000e+02	2.500000e+02	3.640942e-04	3.789200e-05	3.234890e-05
2.500000e+02	2.600000e+02	3.767656e-04	4.187380e-05	2.953430e-05
2.600000e+02	2.700000e+02	3.438087e-04	2.490840e-05	6.211680e-05
2.700000e+02	2.800000e+02	3.570915e-04	3.059570e-05	4.826280e-05
2.800000e+02	2.900000e+02	3.580819e-04	4.095010e-05	2.875120e-05
2.900000e+02	3.000000e+02	3.465342e-04	2.834410e-05	0.000000e+00
3.000000e+02	3.100000e+02	3.357171e-04	2.091560e-05	2.851930e-05
3.100000e+02	3.200000e+02	3.181008e-04	1.220440e-05	5.126950e-05
3.200000e+02	3.300000e+02	3.492096e-04	5.581940e-05	2.835770e-05
3.300000e+02	3.400000e+02	3.428853e-04	6.590500e-05	3.243420e-05
3.400000e+02	3.500000e+02	3.149261e-04	2.902110e-05	2.335590e-05
3.500000e+02	3.600000e+02	3.578873e-04	6.277660e-05	0.000000e+00
3.600000e+02	3.700000e+02	3.003503e-04	3.363510e-05	3.140620e-05
3.700000e+02	3.800000e+02	2.733916e-04	3.573300e-06	5.630770e-05
3.800000e+02	3.900000e+02	2.786964e-04	1.557470e-05	3.096760e-05
3.900000e+02	4.000000e+02	2.757052e-04	8.683080e-05	3.483420e-05
4.000000e+02	4.100000e+02	2.570197e-04	3.098790e-05	3.786740e-05
4.100000e+02	4.200000e+02	2.691656e-04	2.276030e-05	2.236730e-05
4.200000e+02	4.300000e+02	2.614210e-04	2.664850e-05	3.183900e-05
4.300000e+02	4.400000e+02	2.465670e-04	1.743260e-05	1.801780e-05
4.400000e+02	4.500000e+02	2.477066e-04	1.992320e-05	3.841770e-05
4.500000e+02	4.600000e+02	2.948120e-04	7.440100e-05	0.000000e+00
4.600000e+02	4.700000e+02	2.257896e-04	0.000000e+00	1.697801e-04
4.700000e+02	4.800000e+02	2.200344e-04	1.358560e-05	4.566000e-06
4.800000e+02	4.900000e+02	2.340049e-04	2.694460e-05	2.826000e-06
4.900000e+02	5.000000e+02	2.269910e-04	5.475520e-05	3.719690e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	4.000000e+01	7.783825e-11	0.000000e+00	1.003898e-09
4.000000e+01	5.000000e+01	1.328924e-08	2.203540e-09	8.869600e-10
5.000000e+01	6.000000e+01	1.173282e-07	0.000000e+00	1.269461e-07
6.000000e+01	7.000000e+01	7.830571e-07	2.033530e-08	5.309939e-07
7.000000e+01	8.000000e+01	4.606275e-06	6.015930e-07	1.233713e-06
8.000000e+01	9.000000e+01	9.226849e-06	5.455480e-07	2.901811e-06
9.000000e+01	1.000000e+02	1.072607e-05	3.014400e-07	2.264550e-06
1.000000e+02	1.100000e+02	1.665792e-05	2.000450e-06	6.523400e-06
1.100000e+02	1.200000e+02	2.853886e-05	2.500430e-06	9.070330e-06
1.200000e+02	1.300000e+02	5.168916e-05	7.387780e-06	9.883380e-06
1.300000e+02	1.400000e+02	7.955385e-05	9.801470e-06	1.210657e-05
1.400000e+02	1.500000e+02	1.130771e-04	1.129330e-05	2.026720e-05
1.500000e+02	1.600000e+02	1.500863e-04	1.745690e-05	2.356040e-05
1.600000e+02	1.700000e+02	1.815503e-04	1.075950e-05	3.504090e-05
1.700000e+02	1.800000e+02	2.094639e-04	5.314500e-06	3.981690e-05
1.800000e+02	1.900000e+02	2.430816e-04	2.479660e-05	3.739790e-05
1.900000e+02	2.000000e+02	2.679900e-04	2.977340e-05	3.922740e-05
2.000000e+02	2.100000e+02	2.914565e-04	3.415620e-05	6.089490e-05
2.100000e+02	2.200000e+02	3.100432e-04	3.199190e-05	4.640370e-05
2.200000e+02	2.300000e+02	3.194012e-04	4.164750e-05	4.934740e-05
2.300000e+02	2.400000e+02	3.154507e-04	2.757520e-05	6.047620e-05
2.400000e+02	2.500000e+02	3.257098e-04	2.869360e-05	5.487600e-05
2.500000e+02	2.600000e+02	3.421001e-04	4.350380e-05	4.270640e-05
2.600000e+02	2.700000e+02	3.297434e-04	4.080180e-05	6.398430e-05
2.700000e+02	2.800000e+02	3.366374e-04	3.653210e-05	5.452120e-05
2.800000e+02	2.900000e+02	3.381756e-04	2.930140e-05	5.003820e-05
2.900000e+02	3.000000e+02	3.284767e-04	3.718390e-05	5.812530e-05
3.000000e+02	3.100000e+02	3.250188e-04	4.608260e-05	5.960560e-05
3.100000e+02	3.200000e+02	3.202613e-04	3.890970e-05	3.731620e-05
3.200000e+02	3.300000e+02	3.136395e-04	3.520510e-05	4.655870e-05
3.300000e+02	3.400000e+02	3.109586e-04	4.131200e-05	4.464470e-05
3.400000e+02	3.500000e+02	3.066352e-04	4.131180e-05	4.025450e-05
3.500000e+02	3.600000e+02	2.920152e-04	2.891410e-05	4.049300e-05
3.600000e+02	3.700000e+02	2.864569e-04	3.414110e-05	5.000740e-05
3.700000e+02	3.800000e+02	2.862577e-04	4.224820e-05	4.231780e-05
3.800000e+02	3.900000e+02	2.719165e-04	2.674250e-05	1.733271e-04
3.900000e+02	4.000000e+02	2.756337e-04	4.027600e-05	4.365370e-05
4.000000e+02	4.100000e+02	2.594841e-04	2.472620e-05	4.546550e-05
