# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass
XLabel=$m_{j_1j_4}$ (GeV)
LegendAlign=r
XMax=1000.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_4}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/j1j4_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/j1j4_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	3.114453e-05	1.671000e-07	8.177050e-06
4.000000e+01	8.000000e+01	7.539435e-05	1.510900e-05	1.386425e-06
8.000000e+01	1.200000e+02	5.739975e-05	8.265675e-06	7.127825e-06
1.200000e+02	1.600000e+02	3.309878e-05	2.213225e-06	1.390375e-06
1.600000e+02	2.000000e+02	1.796044e-05	0.000000e+00	2.272535e-06
2.000000e+02	2.400000e+02	1.118151e-05	0.000000e+00	2.108340e-06
2.400000e+02	2.800000e+02	8.577582e-06	1.728617e-06	2.822265e-06
2.800000e+02	3.200000e+02	5.779967e-06	0.000000e+00	1.777580e-06
3.200000e+02	3.600000e+02	6.463557e-06	6.753700e-07	2.996600e-07
3.600000e+02	4.000000e+02	6.748237e-06	2.793650e-07	1.442658e-06
4.000000e+02	4.400000e+02	7.765565e-06	1.098702e-06	0.000000e+00
4.400000e+02	4.800000e+02	7.692277e-06	5.643500e-07	2.948520e-06
4.800000e+02	5.200000e+02	7.584660e-06	1.139533e-06	7.671550e-07
5.200000e+02	5.600000e+02	7.660010e-06	4.292100e-07	8.845525e-07
5.600000e+02	6.000000e+02	8.099815e-06	1.294745e-06	8.959950e-07
6.000000e+02	6.400000e+02	7.534955e-06	1.425925e-07	3.179342e-06
6.400000e+02	6.800000e+02	6.997173e-06	1.213845e-06	0.000000e+00
6.800000e+02	7.200000e+02	6.149750e-06	0.000000e+00	1.694525e-06
7.200000e+02	7.600000e+02	7.416853e-06	7.932675e-07	6.179450e-07
7.600000e+02	8.000000e+02	6.450390e-06	0.000000e+00	9.888550e-07
8.000000e+02	8.400000e+02	5.653293e-06	0.000000e+00	1.962432e-06
8.400000e+02	8.800000e+02	6.684633e-06	1.185428e-06	7.329925e-07
8.800000e+02	9.200000e+02	5.790820e-06	1.994125e-07	1.692845e-06
9.200000e+02	9.600000e+02	5.423812e-06	3.645725e-07	9.387300e-07
9.600000e+02	1.000000e+03	4.794880e-06	0.000000e+00	1.821255e-06
1.000000e+03	1.040000e+03	5.272165e-06	6.494375e-07	1.199685e-06
1.040000e+03	1.080000e+03	3.672098e-06	0.000000e+00	2.503470e-06
1.080000e+03	1.120000e+03	4.619572e-06	5.115300e-07	7.772750e-07
1.120000e+03	1.160000e+03	3.901585e-06	0.000000e+00	1.346348e-06
1.160000e+03	1.200000e+03	1.002905e-06	0.000000e+00	2.584392e-06
1.200000e+03	1.240000e+03	2.941622e-06	0.000000e+00	1.594000e-06
1.240000e+03	1.280000e+03	3.316530e-06	1.177275e-07	3.401000e-08
1.280000e+03	1.320000e+03	2.558202e-06	2.361000e-08	1.386528e-06
1.320000e+03	1.360000e+03	3.427318e-06	1.204621e-06	0.000000e+00
1.360000e+03	1.400000e+03	2.729523e-06	2.297180e-07	2.487900e-07
1.400000e+03	1.440000e+03	2.479306e-06	5.590472e-07	7.764125e-08
1.440000e+03	1.480000e+03	2.302196e-06	5.186808e-07	1.239116e-06
1.480000e+03	1.520000e+03	1.905609e-06	2.011130e-07	1.527827e-07
1.520000e+03	1.560000e+03	1.927764e-06	0.000000e+00	3.190552e-07
1.560000e+03	1.600000e+03	2.672465e-06	1.111369e-06	0.000000e+00
1.600000e+03	1.640000e+03	1.466961e-06	1.194380e-07	1.314738e-06
1.640000e+03	1.680000e+03	1.653372e-06	3.558832e-07	6.098588e-07
1.680000e+03	1.720000e+03	1.351839e-06	1.788453e-07	4.076200e-07
1.720000e+03	1.760000e+03	1.228900e-06	1.457850e-08	3.948997e-07
1.760000e+03	1.800000e+03	1.412168e-06	3.490220e-07	1.886728e-07
1.800000e+03	1.840000e+03	1.262086e-06	0.000000e+00	5.375770e-07
1.840000e+03	1.880000e+03	1.271735e-06	1.899002e-07	3.035750e-08
1.880000e+03	1.920000e+03	9.335258e-07	6.161140e-07	2.135122e-07
1.920000e+03	1.960000e+03	7.844780e-07	2.231925e-08	4.570835e-07
1.960000e+03	2.000000e+03	1.005512e-06	3.512485e-07	2.182676e-06
2.000000e+03	2.040000e+03	9.084465e-07	1.260138e-07	0.000000e+00
2.040000e+03	2.080000e+03	7.910327e-07	2.924040e-07	0.000000e+00
2.080000e+03	2.120000e+03	7.385068e-07	9.893125e-08	0.000000e+00
2.120000e+03	2.160000e+03	5.358045e-07	1.840133e-07	1.727507e-07
2.160000e+03	2.200000e+03	1.059241e-06	6.490122e-07	0.000000e+00
2.200000e+03	2.240000e+03	6.392843e-07	1.437983e-07	0.000000e+00
2.240000e+03	2.280000e+03	4.492212e-07	3.606575e-08	1.438750e-09
2.280000e+03	2.320000e+03	3.954412e-07	6.602100e-08	2.232950e-08
2.320000e+03	2.360000e+03	4.245455e-07	3.957500e-08	1.799250e-09
2.360000e+03	2.400000e+03	4.601128e-07	3.977000e-09	1.703025e-07
2.400000e+03	2.440000e+03	2.774485e-07	0.000000e+00	2.168825e-08
2.440000e+03	2.480000e+03	3.401223e-07	4.600225e-08	0.000000e+00
2.480000e+03	2.520000e+03	3.594325e-07	1.288654e-07	7.205550e-08
2.520000e+03	2.560000e+03	1.577698e-07	0.000000e+00	1.152982e-07
2.560000e+03	2.600000e+03	1.548404e-07	0.000000e+00	9.712137e-08
2.600000e+03	2.640000e+03	1.920524e-07	0.000000e+00	3.441287e-08
