# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jj_excl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jj_excl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.2
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jj_excl
XLabel=$\Delta \phi_{j_1j_2}^{excl}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  \Delta \phi_{j_1j_2}^{excl}$ (fb)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.8
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/deltaphi_jj_excl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jj_excl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jj_excl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	3.689723e-01	4.536019e-02	1.265281e-04
1.047198e-01	2.094395e-01	3.502052e-01	2.728245e-02	1.781594e-02
2.094395e-01	3.141593e-01	3.508613e-01	2.089013e-02	1.924679e-02
3.141594e-01	4.188790e-01	3.531374e-01	1.729722e-02	2.026782e-02
4.188790e-01	5.235988e-01	3.569921e-01	2.233618e-02	1.732862e-02
5.235989e-01	6.283186e-01	3.632373e-01	2.432350e-02	1.630228e-02
6.283185e-01	7.330383e-01	3.668291e-01	9.713158e-03	2.022836e-02
7.330384e-01	8.377581e-01	3.727762e-01	2.106624e-02	1.870985e-02
8.377580e-01	9.424778e-01	3.775700e-01	2.415293e-02	2.091515e-02
9.424778e-01	1.047198e+00	3.873132e-01	2.266631e-02	1.664531e-02
1.047197e+00	1.151917e+00	3.991286e-01	2.928953e-02	1.365836e-02
1.151917e+00	1.256637e+00	4.051031e-01	2.585275e-02	2.063273e-02
1.256637e+00	1.361357e+00	4.179348e-01	2.950754e-02	1.976576e-02
1.361357e+00	1.466077e+00	4.283028e-01	2.518545e-02	2.330739e-02
1.466076e+00	1.570796e+00	4.398011e-01	2.771617e-02	1.982706e-02
1.570796e+00	1.675516e+00	4.514643e-01	2.702406e-02	2.189715e-02
1.675516e+00	1.780236e+00	4.678400e-01	2.529813e-02	2.171572e-02
1.780236e+00	1.884956e+00	4.810210e-01	1.773291e-02	1.922756e-02
1.884955e+00	1.989675e+00	4.953912e-01	2.235888e-02	2.344828e-02
1.989675e+00	2.094395e+00	5.196113e-01	3.378686e-02	2.044710e-02
2.094395e+00	2.199115e+00	5.327166e-01	3.081770e-02	2.542017e-02
2.199115e+00	2.303835e+00	5.465032e-01	2.827263e-02	2.245856e-02
2.303834e+00	2.408554e+00	5.695566e-01	3.896275e-02	2.390884e-02
2.408554e+00	2.513274e+00	5.792300e-01	2.495178e-02	2.426900e-02
2.513274e+00	2.617994e+00	5.939056e-01	1.677636e-02	3.392723e-02
2.617994e+00	2.722714e+00	6.156156e-01	3.537080e-02	1.774417e-02
2.722713e+00	2.827433e+00	6.245391e-01	3.922039e-02	2.151405e-02
2.827433e+00	2.932153e+00	6.305645e-01	4.342714e-02	2.890413e-02
2.932153e+00	3.036873e+00	6.490702e-01	3.779717e-02	1.852215e-02
3.036873e+00	3.141593e+00	6.405003e-01	3.399417e-02	3.223224e-02
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jj_excl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jj_excl
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	3.658579e-01	4.193457e-02	0.000000e+00
1.047198e-01	2.094395e-01	3.622237e-01	3.652799e-02	0.000000e+00
2.094395e-01	3.141593e-01	3.669080e-01	3.892597e-02	0.000000e+00
3.141594e-01	4.188790e-01	3.699796e-01	4.026979e-02	0.000000e+00
4.188790e-01	5.235988e-01	3.726907e-01	3.996054e-02	0.000000e+00
5.235989e-01	6.283186e-01	3.776930e-01	4.039259e-02	0.000000e+00
6.283185e-01	7.330383e-01	3.824174e-01	4.139284e-02	0.000000e+00
7.330384e-01	8.377581e-01	3.891866e-01	4.031486e-02	0.000000e+00
8.377580e-01	9.424778e-01	3.960792e-01	4.296761e-02	0.000000e+00
9.424778e-01	1.047198e+00	4.032888e-01	4.599084e-02	0.000000e+00
1.047197e+00	1.151917e+00	4.124321e-01	4.631165e-02	0.000000e+00
1.151917e+00	1.256637e+00	4.219482e-01	4.505319e-02	0.000000e+00
1.256637e+00	1.361357e+00	4.352347e-01	4.809883e-02	0.000000e+00
1.361357e+00	1.466077e+00	4.435072e-01	4.461602e-02	0.000000e+00
1.466076e+00	1.570796e+00	4.573702e-01	4.819412e-02	0.000000e+00
1.570796e+00	1.675516e+00	4.706610e-01	5.038617e-02	0.000000e+00
1.675516e+00	1.780236e+00	4.849374e-01	5.229364e-02	0.000000e+00
1.780236e+00	1.884956e+00	4.993555e-01	5.120760e-02	0.000000e+00
1.884955e+00	1.989675e+00	5.168100e-01	5.425806e-02	0.000000e+00
1.989675e+00	2.094395e+00	5.342602e-01	5.501595e-02	0.000000e+00
2.094395e+00	2.199115e+00	5.489489e-01	5.961765e-02	0.000000e+00
