# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/Hj_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hj_pT_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/Hj_pT_incl
RatioPlotYLabel=Ratio
Scale=1000.0
XLabel=$p_{T,hj_1}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,hj_1}^{incl}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_TIGHT/Hj_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hj_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.413493e-04	3.435700e-05	2.910170e-05
1.000000e+01	2.000000e+01	1.220899e-03	1.882790e-04	1.676880e-04
2.000000e+01	3.000000e+01	7.704928e-03	4.562860e-04	3.197950e-04
3.000000e+01	4.000000e+01	1.688904e-02	1.025370e-03	6.550900e-04
4.000000e+01	5.000000e+01	1.739148e-02	2.874900e-04	1.723800e-04
5.000000e+01	6.000000e+01	1.464860e-02	3.006400e-04	0.000000e+00
6.000000e+01	7.000000e+01	1.054005e-02	1.726300e-04	1.469000e-05
7.000000e+01	8.000000e+01	7.219293e-03	1.675490e-04	1.363350e-04
8.000000e+01	9.000000e+01	4.831831e-03	2.005720e-04	2.036310e-04
9.000000e+01	1.000000e+02	3.118779e-03	8.267300e-05	1.212160e-04
1.000000e+02	1.100000e+02	2.039262e-03	3.407200e-05	1.205700e-04
1.100000e+02	1.200000e+02	1.341584e-03	5.506000e-05	4.241200e-05
1.200000e+02	1.300000e+02	8.760531e-04	2.779010e-05	4.465090e-05
1.300000e+02	1.400000e+02	5.678999e-04	0.000000e+00	2.537310e-05
1.400000e+02	1.500000e+02	3.748015e-04	0.000000e+00	9.464900e-06
1.500000e+02	1.600000e+02	2.446055e-04	1.942100e-06	2.277820e-05
1.600000e+02	1.700000e+02	1.713777e-04	8.704800e-06	2.217200e-05
1.700000e+02	1.800000e+02	9.987652e-05	0.000000e+00	2.204278e-05
1.800000e+02	1.900000e+02	7.815820e-05	0.000000e+00	1.909840e-06
1.900000e+02	2.000000e+02	5.533086e-05	4.550280e-06	1.090940e-06
2.000000e+02	2.100000e+02	3.684923e-05	1.046610e-06	3.039200e-06
2.100000e+02	2.200000e+02	3.517042e-05	1.329583e-05	0.000000e+00
2.200000e+02	2.300000e+02	1.655689e-05	4.757930e-06	0.000000e+00
2.300000e+02	2.400000e+02	1.044069e-05	0.000000e+00	3.481270e-06
2.400000e+02	2.500000e+02	9.212036e-06	2.262092e-06	0.000000e+00
2.500000e+02	2.600000e+02	5.190319e-06	0.000000e+00	2.624376e-05
2.600000e+02	2.700000e+02	4.774711e-06	5.385750e-07	0.000000e+00
2.700000e+02	2.800000e+02	3.114021e-06	0.000000e+00	1.747766e-06
2.800000e+02	2.900000e+02	2.362925e-06	0.000000e+00	1.495885e-06
2.900000e+02	3.000000e+02	1.917322e-06	4.355960e-07	7.828000e-08
3.000000e+02	3.100000e+02	-2.605763e-06	0.000000e+00	3.841362e-06
3.100000e+02	3.200000e+02	1.043440e-06	1.693965e-07	0.000000e+00
3.200000e+02	3.300000e+02	5.681836e-07	2.678165e-07	3.431927e-07
3.300000e+02	3.400000e+02	3.666113e-07	1.021211e-07	2.610270e-07
3.400000e+02	3.500000e+02	4.264414e-07	2.055006e-07	0.000000e+00
3.500000e+02	3.600000e+02	3.663644e-07	6.960050e-08	0.000000e+00
3.600000e+02	3.700000e+02	5.571625e-07	3.078327e-07	0.000000e+00
3.700000e+02	3.800000e+02	1.557421e-07	2.752390e-08	0.000000e+00
3.800000e+02	3.900000e+02	1.988205e-07	5.914130e-08	8.367360e-08
3.900000e+02	4.000000e+02	5.406906e-09	0.000000e+00	1.719156e-07
4.000000e+02	4.100000e+02	1.297152e-07	4.778634e-08	2.711000e-10
4.100000e+02	4.200000e+02	7.758461e-08	6.866727e-08	7.546069e-08
4.200000e+02	4.300000e+02	3.120576e-08	0.000000e+00	1.762565e-08
4.300000e+02	4.400000e+02	2.715046e-09	0.000000e+00	4.550166e-08
4.400000e+02	4.500000e+02	2.420588e-08	3.365239e-08	3.312080e-09
4.500000e+02	4.600000e+02	1.863783e-08	0.000000e+00	1.339902e-07
4.600000e+02	4.700000e+02	1.661091e-08	0.000000e+00	1.431922e-08
4.700000e+02	4.800000e+02	3.694323e-08	2.976769e-08	0.000000e+00
4.800000e+02	4.900000e+02	1.937241e-09	0.000000e+00	1.922426e-08
4.900000e+02	5.000000e+02	6.477985e-08	5.237506e-08	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/Hj_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/Hj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
