# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/jet4_y_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet4_y_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/jet4_y_incl
XLabel=$y_{j_4}^{incl}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{j_4}^{incl}$ (fb)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_TIGHT/jet4_y_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet4_y_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet4_y_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	-1.907619e-05	0.000000e+00	4.158739e-04
-4.400000e+00	-4.200000e+00	9.067640e-04	0.000000e+00	8.945885e-04
-4.200000e+00	-4.000000e+00	1.111658e-03	2.202335e-04	1.914615e-04
-4.000000e+00	-3.800000e+00	1.377741e-03	8.648350e-05	4.044580e-04
-3.800000e+00	-3.600000e+00	1.647250e-03	2.650440e-04	1.854145e-04
-3.600000e+00	-3.400000e+00	1.803817e-03	2.924270e-04	1.544520e-04
-3.400000e+00	-3.200000e+00	1.898719e-03	3.063910e-04	6.731230e-04
-3.200000e+00	-3.000000e+00	2.059159e-03	2.596595e-04	3.664865e-04
-3.000000e+00	-2.800000e+00	2.410830e-03	7.541630e-04	3.474890e-04
-2.800000e+00	-2.600000e+00	3.043461e-03	1.235387e-03	1.191445e-04
-2.600000e+00	-2.400000e+00	2.854204e-03	6.042550e-04	0.000000e+00
-2.400000e+00	-2.200000e+00	2.421530e-03	3.266315e-04	1.699635e-04
-2.200000e+00	-2.000000e+00	1.914192e-03	2.274400e-04	6.093335e-04
-2.000000e+00	-1.800000e+00	2.130381e-03	4.907660e-04	0.000000e+00
-1.800000e+00	-1.600000e+00	1.649263e-03	5.482020e-04	5.335040e-04
-1.600000e+00	-1.400000e+00	1.956865e-03	5.822825e-04	3.731600e-04
-1.400000e+00	-1.200000e+00	1.434218e-03	3.769650e-05	3.132825e-04
-1.200000e+00	-1.000000e+00	1.466601e-03	3.239945e-04	8.877800e-04
-1.000000e+00	-8.000000e-01	1.223539e-03	2.903795e-04	3.237585e-04
-8.000000e-01	-6.000000e-01	1.242877e-03	1.942000e-04	2.166150e-04
-6.000000e-01	-4.000000e-01	1.122082e-03	1.527215e-04	4.022040e-04
-4.000000e-01	-2.000000e-01	9.523335e-04	0.000000e+00	5.447960e-04
-2.000000e-01	0.000000e+00	1.088471e-03	1.872285e-04	3.417220e-04
0.000000e+00	2.000000e-01	1.108673e-03	2.580460e-04	2.982780e-04
2.000000e-01	4.000000e-01	1.398031e-03	5.145140e-04	4.219750e-05
4.000000e-01	6.000000e-01	1.083373e-03	7.423350e-05	4.208865e-04
6.000000e-01	8.000000e-01	1.107910e-03	1.709900e-05	3.939710e-04
8.000000e-01	1.000000e+00	1.390847e-03	4.464810e-04	3.950255e-04
1.000000e+00	1.200000e+00	1.270180e-03	3.529140e-04	0.000000e+00
1.200000e+00	1.400000e+00	1.551062e-03	3.251165e-04	4.752385e-04
1.400000e+00	1.600000e+00	1.661637e-03	2.187125e-04	4.349070e-04
1.600000e+00	1.800000e+00	1.512121e-03	0.000000e+00	1.052948e-03
1.800000e+00	2.000000e+00	1.869803e-03	0.000000e+00	3.624800e-04
2.000000e+00	2.200000e+00	1.771409e-03	1.915700e-05	6.609075e-04
2.200000e+00	2.400000e+00	2.081755e-03	3.549620e-04	3.611075e-04
2.400000e+00	2.600000e+00	3.103400e-03	1.192662e-03	0.000000e+00
2.600000e+00	2.800000e+00	2.301181e-03	2.713640e-04	8.624445e-04
2.800000e+00	3.000000e+00	2.034503e-03	2.972300e-04	2.578015e-04
3.000000e+00	3.200000e+00	2.083925e-03	3.057485e-04	3.354750e-04
3.200000e+00	3.400000e+00	1.885167e-03	0.000000e+00	6.311910e-04
3.400000e+00	3.600000e+00	1.823776e-03	3.256255e-04	4.508710e-04
3.600000e+00	3.800000e+00	1.577744e-03	3.009690e-04	3.319590e-04
3.800000e+00	4.000000e+00	1.221417e-03	0.000000e+00	6.460050e-04
4.000000e+00	4.200000e+00	9.745000e-04	0.000000e+00	1.738255e-03
4.200000e+00	4.400000e+00	8.026385e-04	1.174485e-04	0.000000e+00
4.400000e+00	4.600000e+00	3.909455e-04	1.530184e-04	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/jet4_y_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/jet4_y_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	2.140409e-04	0.000000e+00	1.852454e-04
-4.400000e+00	-4.200000e+00	6.537800e-04	0.000000e+00	3.850055e-04
-4.200000e+00	-4.000000e+00	8.488660e-04	0.000000e+00	4.194600e-04
-4.000000e+00	-3.800000e+00	1.031826e-03	0.000000e+00	3.911185e-04
-3.800000e+00	-3.600000e+00	1.133516e-03	0.000000e+00	9.424485e-04
-3.600000e+00	-3.400000e+00	1.477077e-03	0.000000e+00	1.871037e-03
-3.400000e+00	-3.200000e+00	1.583206e-03	0.000000e+00	6.022140e-04
-3.200000e+00	-3.000000e+00	1.666034e-03	0.000000e+00	5.991545e-04
-3.000000e+00	-2.800000e+00	1.976352e-03	0.000000e+00	5.733260e-04
-2.800000e+00	-2.600000e+00	1.819091e-03	0.000000e+00	5.892890e-04
-2.600000e+00	-2.400000e+00	1.761320e-03	0.000000e+00	7.857760e-04
-2.400000e+00	-2.200000e+00	1.692112e-03	0.000000e+00	4.572395e-04
-2.200000e+00	-2.000000e+00	1.377506e-03	0.000000e+00	1.185208e-03
-2.000000e+00	-1.800000e+00	1.410651e-03	0.000000e+00	5.132995e-04
